ID,CheckHP,CheckAtk,CheckDef,CheckWeight,CheckSpeed,CheckIAS,CheckCRT,CheckMLT,CheckMDK,CheckMFE,CheckMWR,CheckMTR,CheckRLT,CheckRDK,CheckRFE,CheckRWR,CheckRTR,CheckBlood,CheckSkillUp,CheckBounsSkill
539,,,,,,,,,,,,,,V,V,V,,,,
540,,,,,,,,,,,,,,V,V,,V,,,
541,,,,,,,,,,,,,,V,,V,V,,,
542,,,,,,,,,,,,,,,V,V,V,,,
543,,,V,V,,V,,,,,,,V,,,,,,,
544,,,V,V,,V,,,,,,,,V,,,,,,
545,,,V,V,,V,,,,,,,,,V,,,,,
546,,,V,V,,V,,,,,,,,,,V,,,,
547,,,V,V,,V,,,,,,,,,,,V,,,
548,,,V,,,V,,,,,,,V,V,,,,,,
549,,,V,,,V,,,,,,,V,,V,,,,,
550,,,V,,,V,,,,,,,V,,,V,,,,
551,,,V,,,V,,,,,,,V,,,,V,,,
552,,,V,,,V,,,,,,,,V,V,,,,,
553,,,V,,,V,,,,,,,,V,,V,,,,
554,,,V,,,V,,,,,,,,V,,,V,,,
555,,,V,,,V,,,,,,,,,V,V,,,,
556,,,V,,,V,,,,,,,,,V,,V,,,
557,,,V,,,V,,,,,,,,,,V,V,,,
558,,,,V,,V,,,,,,,V,V,,,,,,
559,,,,V,,V,,,,,,,V,,V,,,,,
560,,,,V,,V,,,,,,,V,,,V,,,,
561,,,,V,,V,,,,,,,V,,,,V,,,
562,,,,V,,V,,,,,,,,V,V,,,,,
563,,,,V,,V,,,,,,,,V,,V,,,,
564,,,,V,,V,,,,,,,,V,,,V,,,
565,,,,V,,V,,,,,,,,,V,V,,,,
566,,,,V,,V,,,,,,,,,V,,V,,,
567,,,,V,,V,,,,,,,,,,V,V,,,
568,,,,,,V,,,,,,,V,V,V,,,,,
569,,,,,,V,,,,,,,V,V,,V,,,,
570,,,,,,V,,,,,,,V,V,,,V,,,
571,,,,,,V,,,,,,,V,,V,V,,,,
572,,,,,,V,,,,,,,V,,V,,V,,,
573,,,,,,V,,,,,,,V,,,V,V,,,
574,,,,,,V,,,,,,,,V,V,V,,,,
575,,,,,,V,,,,,,,,V,V,,V,,,
576,,,,,,V,,,,,,,,V,,V,V,,,
577,,,,,,V,,,,,,,,,V,V,V,,,
578,,,V,V,,,,,,,,,V,V,,,,,,
579,,,V,V,,,,,,,,,V,,V,,,,,
580,,,V,V,,,,,,,,,V,,,V,,,,
581,,,V,V,,,,,,,,,V,,,,V,,,
582,,,V,V,,,,,,,,,,V,V,,,,,
583,,,V,V,,,,,,,,,,V,,V,,,,
584,,,V,V,,,,,,,,,,V,,,V,,,
585,,,V,V,,,,,,,,,,,V,V,,,,
586,,,V,V,,,,,,,,,,,V,,V,,,
587,,,V,V,,,,,,,,,,,,V,V,,,
588,,,V,,,,,,,,,,V,V,V,,,,,
589,,,V,,,,,,,,,,V,V,,V,,,,
590,,,V,,,,,,,,,,V,V,,,V,,,
591,,,V,,,,,,,,,,V,,V,V,,,,
592,,,V,,,,,,,,,,V,,V,,V,,,
593,,,V,,,,,,,,,,V,,,V,V,,,
594,,,V,,,,,,,,,,,V,V,V,,,,
595,,,V,,,,,,,,,,,V,V,,V,,,
596,,,V,,,,,,,,,,,V,,V,V,,,
597,,,V,,,,,,,,,,,,V,V,V,,,
598,,,,V,,,,,,,,,V,V,V,,,,,
599,,,,V,,,,,,,,,V,V,,V,,,,
600,,,,V,,,,,,,,,V,V,,,V,,,
601,,,,V,,,,,,,,,V,,V,V,,,,
602,,,,V,,,,,,,,,V,,V,,V,,,
603,,,,V,,,,,,,,,V,,,V,V,,,
604,,,,V,,,,,,,,,,V,V,V,,,,
605,,,,V,,,,,,,,,,V,V,,V,,,
606,,,,V,,,,,,,,,,V,,V,V,,,
607,,,,V,,,,,,,,,,,V,V,V,,,
608,,,,,,,,,,,,,V,V,V,V,,,,
609,,,,,,,,,,,,,V,V,V,,V,,,
610,,,,,,,,,,,,,V,V,,V,V,,,
611,,,,,,,,,,,,,V,,V,V,V,,,
612,,,,,,,,,,,,,,V,V,V,V,,,
613,,,V,V,,V,,,,,,,V,V,,,,,,
614,,,V,V,,V,,,,,,,V,,V,,,,,
615,,,V,V,,V,,,,,,,V,,,V,,,,
616,,,V,V,,V,,,,,,,V,,,,V,,,
617,,,V,V,,V,,,,,,,,V,V,,,,,
618,,,V,V,,V,,,,,,,,V,,V,,,,
619,,,V,V,,V,,,,,,,,V,,,V,,,
620,,,V,V,,V,,,,,,,,,V,V,,,,
621,,,V,V,,V,,,,,,,,,V,,V,,,
622,,,V,V,,V,,,,,,,,,,V,V,,,
623,,,V,,,V,,,,,,,V,V,V,,,,,
624,,,V,,,V,,,,,,,V,V,,V,,,,
625,,,V,,,V,,,,,,,V,V,,,V,,,
626,,,V,,,V,,,,,,,V,,V,V,,,,
627,,,V,,,V,,,,,,,V,,V,,V,,,
628,,,V,,,V,,,,,,,V,,,V,V,,,
629,,,V,,,V,,,,,,,,V,V,V,,,,
630,,,V,,,V,,,,,,,,V,V,,V,,,
631,,,V,,,V,,,,,,,,V,,V,V,,,
632,,,V,,,V,,,,,,,,,V,V,V,,,
633,,,,V,,V,,,,,,,V,V,V,,,,,
634,,,,V,,V,,,,,,,V,V,,V,,,,
635,,,,V,,V,,,,,,,V,V,,,V,,,
636,,,,V,,V,,,,,,,V,,V,V,,,,
637,,,,V,,V,,,,,,,V,,V,,V,,,
638,,,,V,,V,,,,,,,V,,,V,V,,,
639,,,,V,,V,,,,,,,,V,V,V,,,,
640,,,,V,,V,,,,,,,,V,V,,V,,,
641,,,,V,,V,,,,,,,,V,,V,V,,,
642,,,,V,,V,,,,,,,,,V,V,V,,,
643,,,,,,V,,,,,,,V,V,V,V,,,,
644,,,,,,V,,,,,,,V,V,V,,V,,,
645,,,,,,V,,,,,,,V,V,,V,V,,,
646,,,,,,V,,,,,,,V,,V,V,V,,,
647,,,,,,V,,,,,,,,V,V,V,V,,,
648,,,V,V,,,,,,,,,V,V,V,,,,,
649,,,V,V,,,,,,,,,V,V,,V,,,,
650,,,V,V,,,,,,,,,V,V,,,V,,,
651,,,V,V,,,,,,,,,V,,V,V,,,,
652,,,V,V,,,,,,,,,V,,V,,V,,,
653,,,V,V,,,,,,,,,V,,,V,V,,,
654,,,V,V,,,,,,,,,,V,V,V,,,,
655,,,V,V,,,,,,,,,,V,V,,V,,,
656,,,V,V,,,,,,,,,,V,,V,V,,,
657,,,V,V,,,,,,,,,,,V,V,V,,,
658,,,V,,,,,,,,,,V,V,V,V,,,,
659,,,V,,,,,,,,,,V,V,V,,V,,,
660,,,V,,,,,,,,,,V,V,,V,V,,,
661,,,V,,,,,,,,,,V,,V,V,V,,,
662,,,V,,,,,,,,,,,V,V,V,V,,,
663,,,,V,,,,,,,,,V,V,V,V,,,,
664,,,,V,,,,,,,,,V,V,V,,V,,,
665,,,,V,,,,,,,,,V,V,,V,V,,,
666,,,,V,,,,,,,,,V,,V,V,V,,,
667,,,,V,,,,,,,,,,V,V,V,V,,,
668,,,,,,,,,,,,,V,V,V,V,V,,,
669,,,V,V,,V,,,,,,,V,V,V,,,,,
670,,,V,V,,V,,,,,,,V,V,,V,,,,
671,,,V,V,,V,,,,,,,V,V,,,V,,,
672,,,V,V,,V,,,,,,,V,,V,V,,,,
673,,,V,V,,V,,,,,,,V,,V,,V,,,
674,,,V,V,,V,,,,,,,V,,,V,V,,,
675,,,V,V,,V,,,,,,,,V,V,V,,,,
676,,,V,V,,V,,,,,,,,V,V,,V,,,
677,,,V,V,,V,,,,,,,,V,,V,V,,,
678,,,V,V,,V,,,,,,,,,V,V,V,,,
679,,,V,,,V,,,,,,,V,V,V,V,,,,
680,,,V,,,V,,,,,,,V,V,V,,V,,,
681,,,V,,,V,,,,,,,V,V,,V,V,,,
682,,,V,,,V,,,,,,,V,,V,V,V,,,
683,,,V,,,V,,,,,,,,V,V,V,V,,,
684,,,V,,,V,,,,,,,,V,V,V,V,,,
685,,,,V,,V,,,,,,,V,V,V,V,,,,
686,,,,V,,V,,,,,,,V,V,V,,V,,,
687,,,,V,,V,,,,,,,V,V,,V,V,,,
688,,,,V,,V,,,,,,,V,,V,V,V,,,
689,,,,V,,V,,,,,,,,V,V,V,V,,,
690,,,,V,,V,,,,,,,,V,V,V,V,,,
691,,,,,,V,,,,,,,V,V,V,V,V,,,
692,,,,,,V,,,,,,,V,V,V,V,V,,,
693,,,V,V,,,,,,,,,V,V,V,V,,,,
694,,,V,V,,,,,,,,,V,V,V,,V,,,
695,,,V,V,,,,,,,,,V,V,,V,V,,,
696,,,V,V,,,,,,,,,V,,V,V,V,,,
697,,,V,V,,,,,,,,,,V,V,V,V,,,
698,,,V,V,,,,,,,,,,V,V,V,V,,,
699,,,V,,,,,,,,,,V,V,V,V,V,,,
700,,,V,,,,,,,,,,V,V,V,V,V,,,
701,,,,V,,,,,,,,,V,V,V,V,V,,,
702,,,,V,,,,,,,,,V,V,V,V,V,,,
703,,,V,V,V,,,,,,,,,,,,,,,
704,,,V,,V,,,,,,,,V,,,,,,,
705,,,V,,V,,,,,,,,,V,,,,,,
706,,,V,,V,,,,,,,,,,V,,,,,
707,,,V,,V,,,,,,,,,,,V,,,,
708,,,V,,V,,,,,,,,,,,,V,,,
709,,,,,V,,,,,,,,V,V,,,,,,
710,,,,,V,,,,,,,,V,,V,,,,,
711,,,,,V,,,,,,,,V,,,V,,,,
712,,,,,V,,,,,,,,V,,,,V,,,
713,,,,,V,,,,,,,,,V,V,,,,,
714,,,,,V,,,,,,,,,V,,V,,,,
715,,,,,V,,,,,,,,,V,,,V,,,
716,,,,,V,,,,,,,,,,V,V,,,,
717,,,,,V,,,,,,,,,,V,,V,,,
718,,,,,V,,,,,,,,,,,V,V,,,
719,,,V,,,,,,,,,,V,V,,,,,,
720,,,V,,,,,,,,,,V,,V,,,,,
721,,,V,,,,,,,,,,V,,,V,,,,
722,,,V,,,,,,,,,,V,,,,V,,,
723,,,V,,,,,,,,,,,V,V,,,,,
724,,,V,,,,,,,,,,,V,,V,,,,
725,,,V,,,,,,,,,,,V,,,V,,,
726,,,V,,,,,,,,,,,,V,V,,,,
727,,,V,,,,,,,,,,,,V,,V,,,
728,,,V,,,,,,,,,,,,,V,V,,,
729,,,,,,,,,,,,,V,V,V,,,,,
730,,,,,,,,,,,,,V,V,,V,,,,
731,,,,,,,,,,,,,V,V,,,V,,,
732,,,,,,,,,,,,,V,,V,V,,,,
733,,,,,,,,,,,,,V,,V,,V,,,
734,,,,,,,,,,,,,V,,,V,V,,,
735,,,,,,,,,,,,,,V,V,V,,,,
736,,,,,,,,,,,,,,V,V,,V,,,
737,,,,,,,,,,,,,,V,,V,V,,,
738,,,,,,,,,,,,,,,V,V,V,,,
739,,,V,V,V,,,,,,,,V,,,,,,,
740,,,V,V,V,,,,,,,,,V,,,,,,
741,,,V,V,V,,,,,,,,,,V,,,,,
742,,,V,V,V,,,,,,,,,,,V,,,,
743,,,V,V,V,,,,,,,,,,,,V,,,
744,,,V,,V,,,,,,,,V,V,,,,,,
745,,,V,,V,,,,,,,,V,,V,,,,,
746,,,V,,V,,,,,,,,V,,,V,,,,
747,,,V,,V,,,,,,,,V,,,,V,,,
748,,,V,,V,,,,,,,,,V,V,,,,,
749,,,V,,V,,,,,,,,,V,,V,,,,
750,,,V,,V,,,,,,,,,V,,,V,,,
751,,,V,,V,,,,,,,,,,V,V,,,,
752,,,V,,V,,,,,,,,,,V,,V,,,
753,,,V,,V,,,,,,,,,,,V,V,,,
754,,,,V,V,,,,,,,,V,V,,,,,,
755,,,,V,V,,,,,,,,V,,V,,,,,
756,,,,V,V,,,,,,,,V,,,V,,,,
757,,,,V,V,,,,,,,,V,,,,V,,,
758,,,,V,V,,,,,,,,,V,V,,,,,
759,,,,V,V,,,,,,,,,V,,V,,,,
760,,,,V,V,,,,,,,,,V,,,V,,,
761,,,,V,V,,,,,,,,,,V,V,,,,
762,,,,V,V,,,,,,,,,,V,,V,,,
763,,,,V,V,,,,,,,,,,,V,V,,,
764,,,,,V,,,,,,,,V,V,V,,,,,
765,,,,,V,,,,,,,,V,V,,V,,,,
766,,,,,V,,,,,,,,V,V,,,V,,,
767,,,,,V,,,,,,,,V,,V,V,,,,
768,,,,,V,,,,,,,,V,,V,,V,,,
769,,,,,V,,,,,,,,V,,,V,V,,,
770,,,,,V,,,,,,,,,V,V,V,,,,
771,,,,,V,,,,,,,,,V,V,,V,,,
772,,,,,V,,,,,,,,,V,,V,V,,,
773,,,,,V,,,,,,,,,,V,V,V,,,
774,,,V,V,,,,,,,,,V,V,,,,,,
775,,,V,V,,,,,,,,,V,,V,,,,,
776,,,V,V,,,,,,,,,V,,,V,,,,
777,,,V,V,,,,,,,,,V,,,,V,,,
778,,,V,V,,,,,,,,,,V,V,,,,,
779,,,V,V,,,,,,,,,,V,,V,,,,
780,,,V,V,,,,,,,,,,V,,,V,,,
781,,,V,V,,,,,,,,,,,V,V,,,,
782,,,V,V,,,,,,,,,,,V,,V,,,
783,,,V,V,,,,,,,,,,,,V,V,,,
784,,,V,,,,,,,,,,V,V,V,,,,,
785,,,V,,,,,,,,,,V,V,,V,,,,
786,,,V,,,,,,,,,,V,V,,,V,,,
787,,,V,,,,,,,,,,V,,V,V,,,,
788,,,V,,,,,,,,,,V,,V,,V,,,
789,,,V,,,,,,,,,,V,,,V,V,,,
790,,,V,,,,,,,,,,,V,V,V,,,,
791,,,V,,,,,,,,,,,V,V,,V,,,
792,,,V,,,,,,,,,,,V,,V,V,,,
793,,,V,,,,,,,,,,,,V,V,V,,,
794,,,,V,,,,,,,,,V,V,V,,,,,
795,,,,V,,,,,,,,,V,V,,V,,,,
796,,,,V,,,,,,,,,V,V,,,V,,,
797,,,,V,,,,,,,,,V,,V,V,,,,
798,,,,V,,,,,,,,,V,,V,,V,,,
799,,,,V,,,,,,,,,V,,,V,V,,,
800,,,,V,,,,,,,,,,V,V,V,,,,
801,,,,V,,,,,,,,,,V,V,,V,,,
802,,,,V,,,,,,,,,,V,,V,V,,,
803,,,,V,,,,,,,,,,,V,V,V,,,
804,,,,,,,,,,,,,V,V,V,V,,,,
805,,,,,,,,,,,,,V,V,V,,V,,,
806,,,,,,,,,,,,,V,V,,V,V,,,
807,,,,,,,,,,,,,V,,V,V,V,,,
808,,,,,,,,,,,,,,V,V,V,V,,,
809,,,V,V,V,,,,,,,,V,V,,,,,,
810,,,V,V,V,,,,,,,,V,,V,,,,,
811,,,V,V,V,,,,,,,,V,,,V,,,,
812,,,V,V,V,,,,,,,,V,,,,V,,,
813,,,V,V,V,,,,,,,,,V,V,,,,,
814,,,V,V,V,,,,,,,,,V,,V,,,,
815,,,V,V,V,,,,,,,,,V,,,V,,,
816,,,V,V,V,,,,,,,,,,V,V,,,,
817,,,V,V,V,,,,,,,,,,V,,V,,,
818,,,V,V,V,,,,,,,,,,,V,V,,,
819,,,V,,V,,,,,,,,V,V,V,,,,,
820,,,V,,V,,,,,,,,V,V,,V,,,,
821,,,V,,V,,,,,,,,V,V,,,V,,,
822,,,V,,V,,,,,,,,V,,V,V,,,,
823,,,V,,V,,,,,,,,V,,V,,V,,,
824,,,V,,V,,,,,,,,V,,,V,V,,,
825,,,V,,V,,,,,,,,,V,V,V,,,,
826,,,V,,V,,,,,,,,,V,V,,V,,,
827,,,V,,V,,,,,,,,,V,,V,V,,,
828,,,V,,V,,,,,,,,,,V,V,V,,,
829,,,,V,V,,,,,,,,V,V,V,,,,,
830,,,,V,V,,,,,,,,V,V,,V,,,,
831,,,,V,V,,,,,,,,V,V,,,V,,,
832,,,,V,V,,,,,,,,V,,V,V,,,,
833,,,,V,V,,,,,,,,V,,V,,V,,,
834,,,,V,V,,,,,,,,V,,,V,V,,,
835,,,,V,V,,,,,,,,,V,V,V,,,,
836,,,,V,V,,,,,,,,,V,V,,V,,,
837,,,,V,V,,,,,,,,,V,,V,V,,,
838,,,,V,V,,,,,,,,,,V,V,V,,,
839,,,,,V,,,,,,,,V,V,V,V,,,,
840,,,,,V,,,,,,,,V,V,V,,V,,,
841,,,,,V,,,,,,,,V,V,,V,V,,,
842,,,,,V,,,,,,,,V,,V,V,V,,,
843,,,,,V,,,,,,,,,V,V,V,V,,,
844,,,V,V,,,,,,,,,V,V,V,,,,,
845,,,V,V,,,,,,,,,V,V,,V,,,,
846,,,V,V,,,,,,,,,V,V,,,V,,,
847,,,V,V,,,,,,,,,V,,V,V,,,,
848,,,V,V,,,,,,,,,V,,V,,V,,,
849,,,V,V,,,,,,,,,V,,,V,V,,,
850,,,V,V,,,,,,,,,,V,V,V,,,,
851,,,V,V,,,,,,,,,,V,V,,V,,,
852,,,V,V,,,,,,,,,,V,,V,V,,,
853,,,V,V,,,,,,,,,,,V,V,V,,,
854,,,V,,,,,,,,,,V,V,V,V,,,,
855,,,V,,,,,,,,,,V,V,V,,V,,,
856,,,V,,,,,,,,,,V,V,,V,V,,,
857,,,V,,,,,,,,,,V,,V,V,V,,,
858,,,V,,,,,,,,,,,V,V,V,V,,,
859,,,,V,,,,,,,,,V,V,V,V,,,,
860,,,,V,,,,,,,,,V,V,V,,V,,,
861,,,,V,,,,,,,,,V,V,,V,V,,,
862,,,,V,,,,,,,,,V,,V,V,V,,,
863,,,,V,,,,,,,,,,V,V,V,V,,,
864,,,,,,,,,,,,,V,V,V,V,V,,,
865,,,V,V,V,,,,,,,,V,V,V,,,,,
866,,,V,V,V,,,,,,,,V,V,,V,,,,
867,,,V,V,V,,,,,,,,V,V,,,V,,,
868,,,V,V,V,,,,,,,,V,,V,V,,,,
869,,,V,V,V,,,,,,,,V,,V,,V,,,
870,,,V,V,V,,,,,,,,V,,,V,V,,,
871,,,V,V,V,,,,,,,,,V,V,V,,,,
872,,,V,V,V,,,,,,,,,V,V,,V,,,
873,,,V,V,V,,,,,,,,,V,,V,V,,,
874,,,V,V,V,,,,,,,,,,V,V,V,,,
875,,,V,,V,,,,,,,,V,V,V,V,,,,
876,,,V,,V,,,,,,,,V,V,V,,V,,,
877,,,V,,V,,,,,,,,V,V,,V,V,,,
878,,,V,,V,,,,,,,,V,,V,V,V,,,
879,,,V,,V,,,,,,,,,V,V,V,V,,,
880,,,V,,V,,,,,,,,,V,V,V,V,,,
881,,,,V,V,,,,,,,,V,V,V,V,,,,
882,,,,V,V,,,,,,,,V,V,V,,V,,,
883,,,,V,V,,,,,,,,V,V,,V,V,,,
884,,,,V,V,,,,,,,,V,,V,V,V,,,
885,,,,V,V,,,,,,,,,V,V,V,V,,,
886,,,,V,V,,,,,,,,,V,V,V,V,,,
887,,,,,V,,,,,,,,V,V,V,V,V,,,
888,,,,,V,,,,,,,,V,V,V,V,V,,,
889,,,V,V,,,,,,,,,V,V,V,V,,,,
890,,,V,V,,,,,,,,,V,V,V,,V,,,
891,,,V,V,,,,,,,,,V,V,,V,V,,,
892,,,V,V,,,,,,,,,V,,V,V,V,,,
893,,,V,V,,,,,,,,,,V,V,V,V,,,
894,,,V,V,,,,,,,,,,V,V,V,V,,,
895,,,V,,,,,,,,,,V,V,V,V,V,,,
896,,,V,,,,,,,,,,V,V,V,V,V,,,
897,,,,V,,,,,,,,,V,V,V,V,V,,,
898,,,,V,,,,,,,,,V,V,V,V,V,,,
899,V,V,V,,,,,,,,,,,,,,,,,
900,V,V,,,,V,,,,,,,,,,,,,,
901,V,V,,,,,V,,,,,,,,,,,,,
902,V,V,,,,,,V,,,,,,,,,,,,
903,V,V,,,,,,,V,,,,,,,,,,,
904,V,V,,,,,,,,V,,,,,,,,,,
905,V,V,,,,,,,,,V,,,,,,,,,
906,V,V,,,,,,,,,,V,,,,,,,,
907,V,V,,,,,,,,,,,,,,,,V,,
908,V,,V,,,V,,,,,,,,,,,,,,
909,V,,V,,,,V,,,,,,,,,,,,,
910,V,,V,,,,,V,,,,,,,,,,,,
911,V,,V,,,,,,V,,,,,,,,,,,
912,V,,V,,,,,,,V,,,,,,,,,,
913,V,,V,,,,,,,,V,,,,,,,,,
914,V,,V,,,,,,,,,V,,,,,,,,
915,V,,V,,,,,,,,,,,,,,,V,,
916,V,,,,,V,V,,,,,,,,,,,,,
917,V,,,,,V,,V,,,,,,,,,,,,
918,V,,,,,V,,,V,,,,,,,,,,,
919,V,,,,,V,,,,V,,,,,,,,,,
920,V,,,,,V,,,,,V,,,,,,,,,
921,V,,,,,V,,,,,,V,,,,,,,,
922,V,,,,,V,,,,,,,,,,,,V,,
923,V,,,,,,V,V,,,,,,,,,,,,
924,V,,,,,,V,,V,,,,,,,,,,,
925,V,,,,,,V,,,V,,,,,,,,,,
926,V,,,,,,V,,,,V,,,,,,,,,
927,V,,,,,,V,,,,,V,,,,,,,,
928,V,,,,,,V,,,,,,,,,,,V,,
929,V,,,,,,,V,V,,,,,,,,,,,
930,V,,,,,,,V,,V,,,,,,,,,,
931,V,,,,,,,V,,,V,,,,,,,,,
932,V,,,,,,,V,,,,V,,,,,,,,
933,V,,,,,,,V,,,,,,,,,,V,,
934,V,,,,,,,,V,V,,,,,,,,,,
935,V,,,,,,,,V,,V,,,,,,,,,
936,V,,,,,,,,V,,,V,,,,,,,,
937,V,,,,,,,,V,,,,,,,,,V,,
938,V,,,,,,,,,V,V,,,,,,,,,
939,V,,,,,,,,,V,,V,,,,,,,,
940,V,,,,,,,,,V,,,,,,,,V,,
941,V,,,,,,,,,,V,V,,,,,,,,
942,V,,,,,,,,,,V,,,,,,,V,,
943,V,,,,,,,,,,,V,,,,,,V,,
944,,V,V,,,V,,,,,,,,,,,,,,
945,,V,V,,,,V,,,,,,,,,,,,,
946,,V,V,,,,,V,,,,,,,,,,,,
947,,V,V,,,,,,V,,,,,,,,,,,
948,,V,V,,,,,,,V,,,,,,,,,,
949,,V,V,,,,,,,,V,,,,,,,,,
950,,V,V,,,,,,,,,V,,,,,,,,
951,,V,V,,,,,,,,,,,,,,,V,,
952,,V,,,,V,V,,,,,,,,,,,,,
953,,V,,,,V,,V,,,,,,,,,,,,
954,,V,,,,V,,,V,,,,,,,,,,,
955,,V,,,,V,,,,V,,,,,,,,,,
956,,V,,,,V,,,,,V,,,,,,,,,
957,,V,,,,V,,,,,,V,,,,,,,,
958,,V,,,,V,,,,,,,,,,,,V,,
959,,V,,,,,V,V,,,,,,,,,,,,
960,,V,,,,,V,,V,,,,,,,,,,,
961,,V,,,,,V,,,V,,,,,,,,,,
962,,V,,,,,V,,,,V,,,,,,,,,
963,,V,,,,,V,,,,,V,,,,,,,,
964,,V,,,,,V,,,,,,,,,,,V,,
965,,V,,,,,,V,V,,,,,,,,,,,
966,,V,,,,,,V,,V,,,,,,,,,,
967,,V,,,,,,V,,,V,,,,,,,,,
968,,V,,,,,,V,,,,V,,,,,,,,
969,,V,,,,,,V,,,,,,,,,,V,,
970,,V,,,,,,,V,V,,,,,,,,,,
971,,V,,,,,,,V,,V,,,,,,,,,
972,,V,,,,,,,V,,,V,,,,,,,,
973,,V,,,,,,,V,,,,,,,,,V,,
974,,V,,,,,,,,V,V,,,,,,,,,
975,,V,,,,,,,,V,,V,,,,,,,,
976,,V,,,,,,,,V,,,,,,,,V,,
977,,V,,,,,,,,,V,V,,,,,,,,
978,,V,,,,,,,,,V,,,,,,,V,,
979,,V,,,,,,,,,,V,,,,,,V,,
980,,,V,,,V,V,,,,,,,,,,,,,
981,,,V,,,V,,V,,,,,,,,,,,,
982,,,V,,,V,,,V,,,,,,,,,,,
983,,,V,,,V,,,,V,,,,,,,,,,
984,,,V,,,V,,,,,V,,,,,,,,,
985,,,V,,,V,,,,,,V,,,,,,,,
986,,,V,,,V,,,,,,,,,,,,V,,
987,,,V,,,,V,V,,,,,,,,,,,,
988,,,V,,,,V,,V,,,,,,,,,,,
989,,,V,,,,V,,,V,,,,,,,,,,
990,,,V,,,,V,,,,V,,,,,,,,,
991,,,V,,,,V,,,,,V,,,,,,,,
992,,,V,,,,V,,,,,,,,,,,V,,
993,,,V,,,,,V,V,,,,,,,,,,,
994,,,V,,,,,V,,V,,,,,,,,,,
995,,,V,,,,,V,,,V,,,,,,,,,
996,,,V,,,,,V,,,,V,,,,,,,,
997,,,V,,,,,V,,,,,,,,,,V,,
998,,,V,,,,,,V,V,,,,,,,,,,
999,,,V,,,,,,V,,V,,,,,,,,,
1000,,,V,,,,,,V,,,V,,,,,,,,
1001,,,V,,,,,,V,,,,,,,,,V,,
1002,,,V,,,,,,,V,V,,,,,,,,,
1003,,,V,,,,,,,V,,V,,,,,,,,
1004,,,V,,,,,,,V,,,,,,,,V,,
1005,,,V,,,,,,,,V,V,,,,,,,,
1006,,,V,,,,,,,,V,,,,,,,V,,
1007,,,V,,,,,,,,,V,,,,,,V,,
1008,,,,,,V,V,V,,,,,,,,,,,,
1009,,,,,,V,V,,V,,,,,,,,,,,
1010,,,,,,V,V,,,V,,,,,,,,,,
1011,,,,,,V,V,,,,V,,,,,,,,,
1012,,,,,,V,V,,,,,V,,,,,,,,
1013,,,,,,V,V,,,,,,,,,,,V,,
1014,,,,,,V,,V,V,,,,,,,,,,,
1015,,,,,,V,,V,,V,,,,,,,,,,
1016,,,,,,V,,V,,,V,,,,,,,,,
1017,,,,,,V,,V,,,,V,,,,,,,,
1018,,,,,,V,,V,,,,,,,,,,V,,
1019,,,,,,V,,,V,V,,,,,,,,,,
1020,,,,,,V,,,V,,V,,,,,,,,,
1021,,,,,,V,,,V,,,V,,,,,,,,
1022,,,,,,V,,,V,,,,,,,,,V,,
1023,,,,,,V,,,,V,V,,,,,,,,,
1024,,,,,,V,,,,V,,V,,,,,,,,
1025,,,,,,V,,,,V,,,,,,,,V,,
1026,,,,,,V,,,,,V,V,,,,,,,,
1027,,,,,,V,,,,,V,,,,,,,V,,
1028,,,,,,V,,,,,,V,,,,,,V,,
1029,,,,,,,V,V,V,,,,,,,,,,,
1030,,,,,,,V,V,,V,,,,,,,,,,
1031,,,,,,,V,V,,,V,,,,,,,,,
1032,,,,,,,V,V,,,,V,,,,,,,,
1033,,,,,,,V,V,,,,,,,,,,V,,
1034,,,,,,,V,,V,V,,,,,,,,,,
1035,,,,,,,V,,V,,V,,,,,,,,,
1036,,,,,,,V,,V,,,V,,,,,,,,
1037,,,,,,,V,,V,,,,,,,,,V,,
1038,,,,,,,V,,,V,V,,,,,,,,,
1039,,,,,,,V,,,V,,V,,,,,,,,
1040,,,,,,,V,,,V,,,,,,,,V,,
1041,,,,,,,V,,,,V,V,,,,,,,,
1042,,,,,,,V,,,,V,,,,,,,V,,
1043,,,,,,,V,,,,,V,,,,,,V,,
1044,,,,,,,,V,V,V,,,,,,,,,,
1045,,,,,,,,V,V,,V,,,,,,,,,
1046,,,,,,,,V,V,,,V,,,,,,,,
1047,,,,,,,,V,V,,,,,,,,,V,,
1048,,,,,,,,V,,V,V,,,,,,,,,
1049,,,,,,,,V,,V,,V,,,,,,,,
1050,,,,,,,,V,,V,,,,,,,,V,,
1051,,,,,,,,V,,,V,V,,,,,,,,
1052,,,,,,,,V,,,V,,,,,,,V,,
1053,,,,,,,,V,,,,V,,,,,,V,,
1054,,,,,,,,,V,V,V,,,,,,,,,
1055,,,,,,,,,V,V,,V,,,,,,,,
1056,,,,,,,,,V,V,,,,,,,,V,,
1057,,,,,,,,,V,,V,V,,,,,,,,
1058,,,,,,,,,V,,V,,,,,,,V,,
1059,,,,,,,,,V,,,V,,,,,,V,,
1060,,,,,,,,,,V,V,V,,,,,,,,
1061,,,,,,,,,,V,V,,,,,,,V,,
1062,,,,,,,,,,V,,V,,,,,,V,,
1063,,,,,,,,,,,V,V,,,,,,V,,
1064,V,V,V,,,V,,,,,,,,,,,,,,
1065,V,V,V,,,,V,,,,,,,,,,,,,
1066,V,V,V,,,,,V,,,,,,,,,,,,
