ID,RoleID,HasHighLight,Title,Name,Icon,IconSmall,IconSmall_SFW,PuzzleIcon,PuzzleIcon_SFW,PuzzleID,DialogShowID,DialogShowID_SFW,VersionControl
97,14001,TRUE,T_Story_Title_3,T_Story_Name_97,Icon/Images03_HCG/Images/P014_CG2_00,Icon/Item/CGSmall/Icon_CGSmall_P14_CG_2,Icon/Item/CGSmall/Icon_CGSmall_P14_Normal_1,Icon_CgChip_P14_CG2_1_1,Icon_CgChip_P14_Normal_1_1,217-218-219-220,P014_h2,P014_N_2,58
98,14001,TRUE,T_Story_Title_3,T_Story_Name_98,Icon/Images03_HCG/Images/P014_CG3_00,Icon/Item/CGSmall/Icon_CGSmall_P14_CG_3,Icon/Item/CGSmall/Icon_CGSmall_P14_Normal_1,Icon_CgChip_P14_CG3_1_1,Icon_CgChip_P14_Normal_1_1,221-222-223-224,P014_h3,P014_N_3,613-58
99,15001,,T_Story_Title_1,T_Story_Name_99,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P15_Normal_1,,Icon_CgChip_P15_Normal_1_1,,225,P015_1,P015_1,
100,15001,,T_Story_Title_1,T_Story_Name_100,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P15_Normal_1,,Icon_CgChip_P15_Normal_1_1,,226,P015_2,P015_2,
101,15001,,T_Story_Title_1,T_Story_Name_101,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P15_Normal_1,,Icon_CgChip_P15_Normal_1_1,,227,P015_3,P015_3,
102,15001,,T_Story_Title_1,T_Story_Name_102,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P15_Normal_1,,Icon_CgChip_P15_Normal_1_1,,228,P015_4,P015_4,
103,15001,TRUE,T_Story_Title_3,T_Story_Name_103,Icon/Images03_HCG/Images/P015_CG1_01,Icon/Item/CGSmall/Icon_CGSmall_P15_CG_1,Icon/Item/CGSmall/Icon_CGSmall_P15_Normal_1,Icon_CgChip_P15_CG1_1_1,Icon_CgChip_P15_Normal_1_1,229-230-231-232,P015_h1,P015_N_1,58
104,15001,TRUE,T_Story_Title_3,T_Story_Name_104,Icon/Images03_HCG/Images/P015_CG2_01,Icon/Item/CGSmall/Icon_CGSmall_P15_CG_2,Icon/Item/CGSmall/Icon_CGSmall_P15_Normal_1,Icon_CgChip_P15_CG2_1_1,Icon_CgChip_P15_Normal_1_1,233-234-235-236,P015_h2,P015_N_2,58
105,15001,TRUE,T_Story_Title_3,T_Story_Name_90,Icon/Images03_HCG/Images/P015_CG3_01,Icon/Item/CGSmall/Icon_CGSmall_P15_CG_3,Icon/Item/CGSmall/Icon_CGSmall_P15_Normal_1,Icon_CgChip_P15_CG3_1_1,Icon_CgChip_P15_Normal_1_1,237-238-239-240,P015_h3,,614-58
106,16001,,T_Story_Title_1,T_Story_Name_106,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P16_Normal_1,,Icon_CgChip_P16_Normal_1_1,,241,P016_1,P016_1,
107,16001,,T_Story_Title_1,T_Story_Name_107,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P16_Normal_1,,Icon_CgChip_P16_Normal_1_1,,242,P016_2,P016_2,
108,16001,,T_Story_Title_1,T_Story_Name_108,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P16_Normal_1,,Icon_CgChip_P16_Normal_1_1,,243,P016_3,P016_3,
109,16001,,T_Story_Title_1,T_Story_Name_109,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P16_Normal_1,,Icon_CgChip_P16_Normal_1_1,,244,P016_4,P016_4,
110,16001,TRUE,T_Story_Title_3,T_Story_Name_110,Icon/Images03_HCG/Images/P016_CG1_01,Icon/Item/CGSmall/Icon_CGSmall_P16_CG_1,Icon/Item/CGSmall/Icon_CGSmall_P16_Normal_1,Icon_CgChip_P16_CG1_1_1,Icon_CgChip_P16_Normal_1_1,245-246-247-248,P016_h1,P016_N_1,58
111,16001,TRUE,T_Story_Title_3,T_Story_Name_111,Icon/Images03_HCG/Images/P016_CG2_01,Icon/Item/CGSmall/Icon_CGSmall_P16_CG_2,Icon/Item/CGSmall/Icon_CGSmall_P16_Normal_1,Icon_CgChip_P16_CG2_1_1,Icon_CgChip_P16_Normal_1_1,249-250-251-252,P016_h2,P016_N_2,58
112,16001,TRUE,T_Story_Title_3,T_Story_Name_90,Icon/Images03_HCG/Images/P016_CG3_01,Icon/Item/CGSmall/Icon_CGSmall_P16_CG_3,Icon/Item/CGSmall/Icon_CGSmall_P16_Normal_1,Icon_CgChip_P16_CG3_1_1,Icon_CgChip_P16_Normal_1_1,253-254-255-256,P016_h3,,615-58
113,17001,,T_Story_Title_1,T_Story_Name_113,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P17_Normal_1,,Icon_CgChip_P17_Normal_1_1,,257,P017_1,P017_1,
114,17001,,T_Story_Title_1,T_Story_Name_114,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P17_Normal_1,,Icon_CgChip_P17_Normal_1_1,,258,P017_2,P017_2,
115,17001,,T_Story_Title_1,T_Story_Name_115,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P17_Normal_1,,Icon_CgChip_P17_Normal_1_1,,259,P017_3,P017_3,
116,17001,,T_Story_Title_1,T_Story_Name_116,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P17_Normal_1,,Icon_CgChip_P17_Normal_1_1,,260,P017_4,P017_4,
117,17001,TRUE,T_Story_Title_3,T_Story_Name_117,Icon/Images03_HCG/Images/P017_CG1_01,Icon/Item/CGSmall/Icon_CGSmall_P17_CG_1,Icon/Item/CGSmall/Icon_CGSmall_P17_Normal_1,Icon_CgChip_P17_CG1_1_1,Icon_CgChip_P17_Normal_1_1,261-262-263-264,P017_h1,P017_N_1,58
118,17001,TRUE,T_Story_Title_3,T_Story_Name_118,Icon/Images03_HCG/Images/P017_CG2_01,Icon/Item/CGSmall/Icon_CGSmall_P17_CG_2,Icon/Item/CGSmall/Icon_CGSmall_P17_Normal_1,Icon_CgChip_P17_CG2_1_1,Icon_CgChip_P17_Normal_1_1,265-266-267-268,P017_h2,P017_N_2,58
119,17001,TRUE,T_Story_Title_3,T_Story_Name_90,Icon/Images03_HCG/Images/P017_CG3_01,Icon/Item/CGSmall/Icon_CGSmall_P17_CG_3,Icon/Item/CGSmall/Icon_CGSmall_P17_Normal_1,Icon_CgChip_P17_CG3_1_1,Icon_CgChip_P17_Normal_1_1,269-270-271-272,P017_h3,,616-58
120,18001,,T_Story_Title_1,T_Story_Name_120,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P18_Normal_1,,Icon_CgChip_P18_Normal_1_1,,273,P018_1,P018_1,
121,18001,,T_Story_Title_1,T_Story_Name_121,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P18_Normal_1,,Icon_CgChip_P18_Normal_1_1,,274,P018_2,P018_2,
122,18001,,T_Story_Title_1,T_Story_Name_122,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P18_Normal_1,,Icon_CgChip_P18_Normal_1_1,,275,P018_3,P018_3,
123,18001,,T_Story_Title_1,T_Story_Name_123,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P18_Normal_1,,Icon_CgChip_P18_Normal_1_1,,276,P018_4,P018_4,
124,18001,TRUE,T_Story_Title_3,T_Story_Name_124,Icon/Images03_HCG/Images/P018_CG1_01,Icon/Item/CGSmall/Icon_CGSmall_P18_CG_1,Icon/Item/CGSmall/Icon_CGSmall_P18_Normal_1,Icon_CgChip_P18_CG1_1_1,Icon_CgChip_P18_Normal_1_1,277-278-279-280,P018_h1,P018_N_1,58
125,18001,TRUE,T_Story_Title_3,T_Story_Name_125,Icon/Images03_HCG/Images/P018_CG2_01,Icon/Item/CGSmall/Icon_CGSmall_P18_CG_2,Icon/Item/CGSmall/Icon_CGSmall_P18_Normal_1,Icon_CgChip_P18_CG2_1_1,Icon_CgChip_P18_Normal_1_1,281-282-283-284,P018_h2,P018_N_2,58
126,18001,TRUE,T_Story_Title_3,T_Story_Name_90,Icon/Images03_HCG/Images/P018_CG3_01,Icon/Item/CGSmall/Icon_CGSmall_P18_CG_3,Icon/Item/CGSmall/Icon_CGSmall_P18_Normal_1,Icon_CgChip_P18_CG3_1_1,Icon_CgChip_P18_Normal_1_1,285-286-287-288,P018_h3,,617-58
127,19001,,T_Story_Title_1,T_Story_Name_127,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P19_Normal_1,,Icon_CgChip_P19_Normal_1_1,,289,P019_1,P019_1,
128,19001,,T_Story_Title_1,T_Story_Name_128,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P19_Normal_1,,Icon_CgChip_P19_Normal_1_1,,290,P019_2,P019_2,
129,19001,,T_Story_Title_1,T_Story_Name_129,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P19_Normal_1,,Icon_CgChip_P19_Normal_1_1,,291,P019_3,P019_3,
130,19001,,T_Story_Title_1,T_Story_Name_130,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P19_Normal_1,,Icon_CgChip_P19_Normal_1_1,,292,P019_4,P019_4,
131,19001,TRUE,T_Story_Title_3,T_Story_Name_131,Icon/Images03_HCG/Images/P019_CG1_01,Icon/Item/CGSmall/Icon_CGSmall_P19_CG_1,Icon/Item/CGSmall/Icon_CGSmall_P19_Normal_1,Icon_CgChip_P19_CG1_1_1,Icon_CgChip_P19_Normal_1_1,293-294-295-296,P019_h1,P019_N_1,58
132,19001,TRUE,T_Story_Title_3,T_Story_Name_132,Icon/Images03_HCG/Images/P019_CG2_01,Icon/Item/CGSmall/Icon_CGSmall_P19_CG_2,Icon/Item/CGSmall/Icon_CGSmall_P19_Normal_1,Icon_CgChip_P19_CG2_1_1,Icon_CgChip_P19_Normal_1_1,297-298-299-300,P019_h2,P019_N_2,58
133,20001,,T_Story_Title_1,T_Story_Name_133,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P20_Normal_1,,Icon_CgChip_P20_Normal_1_1,,301,P020_1,P020_1,
134,20001,,T_Story_Title_1,T_Story_Name_134,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P20_Normal_1,,Icon_CgChip_P20_Normal_1_1,,302,P020_2,P020_2,
135,20001,,T_Story_Title_1,T_Story_Name_135,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P20_Normal_1,,Icon_CgChip_P20_Normal_1_1,,303,P020_3,P020_3,
136,20001,,T_Story_Title_1,T_Story_Name_136,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P20_Normal_1,,Icon_CgChip_P20_Normal_1_1,,304,P020_4,P020_4,
137,20001,TRUE,T_Story_Title_3,T_Story_Name_137,Icon/Images03_HCG/Images/P020_CG1_01,Icon/Item/CGSmall/Icon_CGSmall_P20_CG_1,Icon/Item/CGSmall/Icon_CGSmall_P20_Normal_1,Icon_CgChip_P20_CG1_1_1,Icon_CgChip_P20_Normal_1_1,305-306-307-308,P020_h1,P020_N_1,58
138,20001,TRUE,T_Story_Title_3,T_Story_Name_138,Icon/Images03_HCG/Images/P020_CG2_01,Icon/Item/CGSmall/Icon_CGSmall_P20_CG_2,Icon/Item/CGSmall/Icon_CGSmall_P20_Normal_1,Icon_CgChip_P20_CG2_1_1,Icon_CgChip_P20_Normal_1_1,309-310-311-312,P020_h2,P020_N_2,58
139,21001,,T_Story_Title_1,T_Story_Name_139,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P21_Normal_1,,Icon_CgChip_P21_Normal_1_1,,313,P021_1,P021_1,
140,21001,,T_Story_Title_1,T_Story_Name_140,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P21_Normal_1,,Icon_CgChip_P21_Normal_1_1,,314,P021_2,P021_2,
141,21001,,T_Story_Title_1,T_Story_Name_141,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P21_Normal_1,,Icon_CgChip_P21_Normal_1_1,,315,P021_3,P021_3,
142,21001,,T_Story_Title_1,T_Story_Name_142,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P21_Normal_1,,Icon_CgChip_P21_Normal_1_1,,316,P021_4,P021_4,
143,21001,TRUE,T_Story_Title_3,T_Story_Name_143,Icon/Images03_HCG/Images/P021_CG1_01,Icon/Item/CGSmall/Icon_CGSmall_P21_CG_1,Icon/Item/CGSmall/Icon_CGSmall_P21_Normal_1,Icon_CgChip_P21_CG1_1_1,Icon_CgChip_P21_Normal_1_1,317-318-319-320,P021_h1,P021_N_1,58
144,21001,TRUE,T_Story_Title_3,T_Story_Name_144,Icon/Images03_HCG/Images/P021_CG2_01,Icon/Item/CGSmall/Icon_CGSmall_P21_CG_2,Icon/Item/CGSmall/Icon_CGSmall_P21_Normal_1,Icon_CgChip_P21_CG2_1_1,Icon_CgChip_P21_Normal_1_1,321-322-323-324,P021_h2,P021_N_2,58
145,22001,,T_Story_Title_1,T_Story_Name_145,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P22_Normal_1,,Icon_CgChip_P22_Normal_1_1,,325,P022_1,P022_1,
146,22001,,T_Story_Title_1,T_Story_Name_146,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P22_Normal_1,,Icon_CgChip_P22_Normal_1_1,,326,P022_2,P022_2,
147,22001,,T_Story_Title_1,T_Story_Name_147,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P22_Normal_1,,Icon_CgChip_P22_Normal_1_1,,327,P022_3,P022_3,
148,22001,,T_Story_Title_1,T_Story_Name_148,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P22_Normal_1,,Icon_CgChip_P22_Normal_1_1,,328,P022_4,P022_4,
149,22001,TRUE,T_Story_Title_3,T_Story_Name_149,Icon/Images03_HCG/Images/P022_CG1_01,Icon/Item/CGSmall/Icon_CGSmall_P22_CG_1,Icon/Item/CGSmall/Icon_CGSmall_P22_Normal_1,Icon_CgChip_P22_CG1_1_1,Icon_CgChip_P22_Normal_1_1,329-330-331-332,P022_h1,P022_N_1,58
150,22001,TRUE,T_Story_Title_3,T_Story_Name_150,Icon/Images03_HCG/Images/P022_CG2_01,Icon/Item/CGSmall/Icon_CGSmall_P22_CG_2,Icon/Item/CGSmall/Icon_CGSmall_P22_Normal_1,Icon_CgChip_P22_CG2_1_1,Icon_CgChip_P22_Normal_1_1,333-334-335-336,P022_h2,P022_N_2,58
151,90001,,T_Story_Title_1,T_Story_Name_151,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P90_Normal_1,,Icon_CgChip_P90_Normal_1_1,,337,P090_1,P090_1,
152,90001,,T_Story_Title_1,T_Story_Name_152,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P90_Normal_1,,Icon_CgChip_P90_Normal_1_1,,338,P090_2,P090_2,
153,90001,,T_Story_Title_1,T_Story_Name_153,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P90_Normal_1,,Icon_CgChip_P90_Normal_1_1,,339,P090_3,P090_3,
154,90001,,T_Story_Title_1,T_Story_Name_154,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P90_Normal_1,,Icon_CgChip_P90_Normal_1_1,,340,P090_4,P090_4,
155,90001,TRUE,T_Story_Title_3,T_Story_Name_155,Icon/Images03_HCG/Images/P090_CG1_01,Icon/Item/CGSmall/Icon_CGSmall_P90_CG_1,Icon/Item/CGSmall/Icon_CGSmall_P90_Normal_1,Icon_CgChip_P90_CG1_1_1,Icon_CgChip_P90_Normal_1_1,341-342-343-344,P090_h1,P090_N_1,58
156,90001,TRUE,T_Story_Title_3,T_Story_Name_156,Icon/Images03_HCG/Images/P090_CG2_01,Icon/Item/CGSmall/Icon_CGSmall_P90_CG_2,Icon/Item/CGSmall/Icon_CGSmall_P90_Normal_1,Icon_CgChip_P90_CG2_1_1,Icon_CgChip_P90_Normal_1_1,345-346-347-348,P090_h2,P090_N_2,58
157,91001,,T_Story_Title_1,T_Story_Name_157,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P91_Normal_1,,Icon_CgChip_P91_Normal_1_1,,349,P091_1,P091_1,
158,91001,,T_Story_Title_1,T_Story_Name_158,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P91_Normal_1,,Icon_CgChip_P91_Normal_1_1,,350,P091_2,P091_2,
159,91001,,T_Story_Title_1,T_Story_Name_159,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P91_Normal_1,,Icon_CgChip_P91_Normal_1_1,,351,P091_3,P091_3,
160,91001,,T_Story_Title_1,T_Story_Name_160,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P91_Normal_1,,Icon_CgChip_P91_Normal_1_1,,352,P091_4,P091_4,
161,91001,TRUE,T_Story_Title_3,T_Story_Name_161,Icon/Images03_HCG/Images/P091_CG1_01,Icon/Item/CGSmall/Icon_CGSmall_P91_CG_1,Icon/Item/CGSmall/Icon_CGSmall_P91_Normal_1,Icon_CgChip_P91_CG1_1_1,Icon_CgChip_P91_Normal_1_1,353-354-355-356,P091_h1,P091_N_1,58
162,91001,TRUE,T_Story_Title_3,T_Story_Name_162,Icon/Images03_HCG/Images/P091_CG2_01,Icon/Item/CGSmall/Icon_CGSmall_P91_CG_2,Icon/Item/CGSmall/Icon_CGSmall_P91_Normal_1,Icon_CgChip_P91_CG2_1_1,Icon_CgChip_P91_Normal_1_1,357-358-359-360,P091_h2,P091_N_2,58
163,23001,,T_Story_Title_1,T_Story_Name_163,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P23_Normal_1,,Icon_CgChip_P23_Normal_1_1,,361,P023_1,P023_1,
164,23001,,T_Story_Title_1,T_Story_Name_164,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P23_Normal_1,,Icon_CgChip_P23_Normal_1_1,,362,P023_2,P023_2,
165,23001,,T_Story_Title_1,T_Story_Name_165,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P23_Normal_1,,Icon_CgChip_P23_Normal_1_1,,363,P023_3,P023_3,
166,23001,,T_Story_Title_1,T_Story_Name_166,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P23_Normal_1,,Icon_CgChip_P23_Normal_1_1,,364,P023_4,P023_4,
167,23001,TRUE,T_Story_Title_3,T_Story_Name_167,Icon/Images03_HCG/Images/P023_CG1_01,Icon/Item/CGSmall/Icon_CGSmall_P23_CG_1,Icon/Item/CGSmall/Icon_CGSmall_P23_Normal_1,Icon_CgChip_P23_CG1_1_1,Icon_CgChip_P23_Normal_1_1,365-366-367-368,P023_h1,P023_N_1,58
168,23001,TRUE,T_Story_Title_3,T_Story_Name_168,Icon/Images03_HCG/Images/P023_CG2_01,Icon/Item/CGSmall/Icon_CGSmall_P23_CG_2,Icon/Item/CGSmall/Icon_CGSmall_P23_Normal_1,Icon_CgChip_P23_CG2_1_1,Icon_CgChip_P23_Normal_1_1,369-370-371-372,P023_h2,P023_N_2,58
169,24001,,T_Story_Title_1,T_Story_Name_169,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P24_Normal_1,,Icon_CgChip_P24_Normal_1_1,,373,P024_1,P024_1,
170,24001,,T_Story_Title_1,T_Story_Name_170,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P24_Normal_1,,Icon_CgChip_P24_Normal_1_1,,374,P024_2,P024_2,
171,24001,,T_Story_Title_1,T_Story_Name_171,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P24_Normal_1,,Icon_CgChip_P24_Normal_1_1,,375,P024_3,P024_3,
172,24001,,T_Story_Title_1,T_Story_Name_172,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P24_Normal_1,,Icon_CgChip_P24_Normal_1_1,,376,P024_4,P024_4,
173,24001,TRUE,T_Story_Title_3,T_Story_Name_173,Icon/Images03_HCG/Images/P024_CG1_01,Icon/Item/CGSmall/Icon_CGSmall_P24_CG_1,Icon/Item/CGSmall/Icon_CGSmall_P24_Normal_1,Icon_CgChip_P24_CG1_1_1,Icon_CgChip_P24_Normal_1_1,377-378-379-380,P024_h1,P024_N_1,58
174,24001,TRUE,T_Story_Title_3,T_Story_Name_174,Icon/Images03_HCG/Images/P024_CG2_01,Icon/Item/CGSmall/Icon_CGSmall_P24_CG_2,Icon/Item/CGSmall/Icon_CGSmall_P24_Normal_1,Icon_CgChip_P24_CG2_1_1,Icon_CgChip_P24_Normal_1_1,381-382-383-384,P024_h2,P024_N_2,58
175,25001,,T_Story_Title_1,T_Story_Name_175,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P25_Normal_1,,Icon_CgChip_P25_Normal_1_1,,385,P025_1,P025_1,
176,25001,,T_Story_Title_1,T_Story_Name_176,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P25_Normal_1,,Icon_CgChip_P25_Normal_1_1,,386,P025_2,P025_2,
177,25001,,T_Story_Title_1,T_Story_Name_177,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P25_Normal_1,,Icon_CgChip_P25_Normal_1_1,,387,P025_3,P025_3,
178,25001,,T_Story_Title_1,T_Story_Name_178,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P25_Normal_1,,Icon_CgChip_P25_Normal_1_1,,388,P025_4,P025_4,
179,25001,TRUE,T_Story_Title_3,T_Story_Name_179,Icon/Images03_HCG/Images/P025_CG1_01,Icon/Item/CGSmall/Icon_CGSmall_P25_CG_1,Icon/Item/CGSmall/Icon_CGSmall_P25_Normal_1,Icon_CgChip_P25_CG1_1_1,Icon_CgChip_P25_Normal_1_1,389-390-391-392,P025_h1,P025_N_1,58
180,25001,TRUE,T_Story_Title_3,T_Story_Name_180,Icon/Images03_HCG/Images/P025_CG2_01,Icon/Item/CGSmall/Icon_CGSmall_P25_CG_2,Icon/Item/CGSmall/Icon_CGSmall_P25_Normal_1,Icon_CgChip_P25_CG2_1_1,Icon_CgChip_P25_Normal_1_1,393-394-395-396,P025_h2,P025_N_2,58
181,26001,,T_Story_Title_1,T_Story_Name_181,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P26_Normal_1,,Icon_CgChip_P26_Normal_1_1,,397,P026_1,P026_1,
182,26001,,T_Story_Title_1,T_Story_Name_182,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P26_Normal_1,,Icon_CgChip_P26_Normal_1_1,,398,P026_2,P026_2,
183,26001,,T_Story_Title_1,T_Story_Name_183,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P26_Normal_1,,Icon_CgChip_P26_Normal_1_1,,399,P026_3,P026_3,
184,26001,,T_Story_Title_1,T_Story_Name_184,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P26_Normal_1,,Icon_CgChip_P26_Normal_1_1,,400,P026_4,P026_4,
185,26001,TRUE,T_Story_Title_3,T_Story_Name_185,Icon/Images03_HCG/Images/P026_CG1_01,Icon/Item/CGSmall/Icon_CGSmall_P26_CG_1,Icon/Item/CGSmall/Icon_CGSmall_P26_Normal_1,Icon_CgChip_P26_CG1_1_1,Icon_CgChip_P26_Normal_1_1,401-402-403-404,P026_h1,P026_N_1,58
186,26001,TRUE,T_Story_Title_3,T_Story_Name_186,Icon/Images03_HCG/Images/P026_CG2_01,Icon/Item/CGSmall/Icon_CGSmall_P26_CG_2,Icon/Item/CGSmall/Icon_CGSmall_P26_Normal_1,Icon_CgChip_P26_CG2_1_1,Icon_CgChip_P26_Normal_1_1,405-406-407-408,P026_h2,P026_N_2,58
187,27001,,T_Story_Title_1,T_Story_Name_187,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P27_Normal_1,,Icon_CgChip_P27_Normal_1_1,,409,P027_1,P027_1,
188,27001,,T_Story_Title_1,T_Story_Name_188,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P27_Normal_1,,Icon_CgChip_P27_Normal_1_1,,410,P027_2,P027_2,
189,27001,,T_Story_Title_1,T_Story_Name_189,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P27_Normal_1,,Icon_CgChip_P27_Normal_1_1,,411,P027_3,P027_3,
190,27001,,T_Story_Title_1,T_Story_Name_190,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P27_Normal_1,,Icon_CgChip_P27_Normal_1_1,,412,P027_4,P027_4,
191,27001,TRUE,T_Story_Title_3,T_Story_Name_191,Icon/Images03_HCG/Images/P027_CG1_01,Icon/Item/CGSmall/Icon_CGSmall_P27_CG_1,Icon/Item/CGSmall/Icon_CGSmall_P27_Normal_1,Icon_CgChip_P27_CG1_1_1,Icon_CgChip_P27_Normal_1_1,413-414-415-416,P027_h1,P027_N_1,58
192,27001,TRUE,T_Story_Title_3,T_Story_Name_192,Icon/Images03_HCG/Images/P027_CG2_01,Icon/Item/CGSmall/Icon_CGSmall_P27_CG_2,Icon/Item/CGSmall/Icon_CGSmall_P27_Normal_1,Icon_CgChip_P27_CG2_1_1,Icon_CgChip_P27_Normal_1_1,417-418-419-420,P027_h2,P027_N_2,58
193,28001,,T_Story_Title_1,T_Story_Name_193,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P28_Normal_1,,Icon_CgChip_P28_Normal_1_1,,421,P028_1,P028_1,
194,28001,,T_Story_Title_1,T_Story_Name_194,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P28_Normal_1,,Icon_CgChip_P28_Normal_1_1,,422,P028_2,P028_2,
195,28001,,T_Story_Title_1,T_Story_Name_195,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P28_Normal_1,,Icon_CgChip_P28_Normal_1_1,,423,P028_3,P028_3,
