ID,PVP1V1Rate,PVP1V1AddHPRate,DynamicAtt,MAX_HP,HP_RATE,HP_RECOVER,EnergyRecoverRate,ATTACK,ATK_RATE,DEFENSE,DEF_RATE,RESILIENCE,Penetration_RATE,SPEED,Walk_Speed,SPD_RATE,ATK_SPEED,CRT_RATE,CRT_DMG_Rate,CRT_Resist_Rate,WEIGHT,VAMPIRE,VAMPIRE_Value,BONUS_SKILL,Scale,DamageReduce,HitFlyValue,IRT_VALUE,Friction,ImmunityStatusAnimationLimitType
1300731,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,
1300391,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,
1300401,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,
1300411,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,
1300791,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,
1300511,,,,,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,
1300521,,,,,,,,,,,-0.25,,,,,,,,,,,,,,,,,,,
1300531,,,,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,
1300831,,,,,,,,,,,-0.55,,,,,,,,,,,,,,,,,,,
1300631,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,
1300641,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,
1300651,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,
1300871,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,
1300981,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,
1300991,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,
1301001,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,
1301011,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,
1301041,,,,,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,
1301051,,,,,,,,,,,-0.25,,,,,,,,,,,,,,,,,,,
1301061,,,,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,
1301071,,,,,,,,,,,-0.55,,,,,,,,,,,,,,,,,,,
1301081,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,
1301091,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,
1301101,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,
1301111,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,
1301201,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,
1301211,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,
1301221,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,
1301231,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,
1301331,,,,,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,
1301341,,,,,,,,,,,-0.25,,,,,,,,,,,,,,,,,,,
1301351,,,,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,
1301361,,,,,,,,,,,-0.55,,,,,,,,,,,,,,,,,,,
1301491,,,,,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,
1301501,,,,,,,,,,,-0.25,,,,,,,,,,,,,,,,,,,
1301511,,,,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,
1301521,,,,,,,,,,,-0.55,,,,,,,,,,,,,,,,,,,
1301531,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,
1301541,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,
1301551,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,
1301561,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,
1301571,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,
1301581,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,
1301591,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,
1301601,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,
1301611,,,,,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,
1301621,,,,,,,,,,,-0.25,,,,,,,,,,,,,,,,,,,
1301631,,,,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,
1301641,,,,,,,,,,,-0.55,,,,,,,,,,,,,,,,,,,
1301651,,,,,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,
1301661,,,,,,,,,,,-0.25,,,,,,,,,,,,,,,,,,,
1301671,,,,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,
1301681,,,,,,,,,,,-0.55,,,,,,,,,,,,,,,,,,,
1301691,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,
1301701,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,
1301711,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,
1301721,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,
1301731,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,
1301741,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,
1301751,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,
1301761,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,
1301811,,,,,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,
1301821,,,,,,,,,,,-0.25,,,,,,,,,,,,,,,,,,,
1301831,,,,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,
1301841,,,,,,,,,,,-0.55,,,,,,,,,,,,,,,,,,,
1301851,,,,,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,
1301861,,,,,,,,,,,-0.25,,,,,,,,,,,,,,,,,,,
1301871,,,,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,
1301881,,,,,,,,,,,-0.55,,,,,,,,,,,,,,,,,,,
1301931,,,,,,,,,0.1,,0.1,,,,,,,,,,,,,,,,,,,
1301941,,,,,,,,,0.15,,0.15,,,,,,,,,,,,,,,,,,,
1301951,,,,,,,,,0.2,,0.2,,,,,,,,,,,,,,,,,,,
1301961,,,,,,,,,0.25,,0.25,,,,,,,,,,,,,,,,,,,
1301971,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,
1301981,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,
1301991,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,
1302001,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,
1302011,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,
1302021,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,
1302031,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,
1302041,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,
1302051,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,
1302061,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,
1302071,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,
1302081,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,
1302091,,,,,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,
1302101,,,,,,,,,,,-0.25,,,,,,,,,,,,,,,,,,,
1302111,,,,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,
1302121,,,,,,,,,,,-0.55,,,,,,,,,,,,,,,,,,,
1302131,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,
1302141,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,
1302151,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,
1302161,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,
1302291,,,,,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,
1302301,,,,,,,,,,,-0.25,,,,,,,,,,,,,,,,,,,
1302311,,,,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,
1302321,,,,,,,,,,,-0.55,,,,,,,,,,,,,,,,,,,
1302331,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,
1302341,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,
1302351,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,
1302361,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,
1302411,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,
1302421,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,
1302431,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,
1302441,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,
140001,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,
140002,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,
140003,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,
140004,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,
140005,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
140006,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,
140007,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,
140008,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,
140009,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,
140010,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,
140011,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
140012,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
140013,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,
140014,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
140015,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
140016,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
140017,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,
140018,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
140019,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,
140020,,,,225,,,,,,,,,,,,,,,,,,,,,,,,,,
140021,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,
140022,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,
140023,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,
140024,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,
140025,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,
140026,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,
140027,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,
140028,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,
140029,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,
140030,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,
140031,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,
140032,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,
140033,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,
140034,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,
140035,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,
1600001,,,,139,,,,16,,,,,,,,,,,,,,,,,,,,,,
1600002,,,,174,,,,20,,,,,,,,,,,,,,,,,,,,,,
1600003,,,,243,,,,28,,,,,,,,,,,,,,,,,,,,,,
1600004,,,,347,,,,41,,,,,,,,,,,,,,,,,,,,,,
1600005,,,,451,,,,54,,,,,,,,,,,,,,,,,,,,,,
1610001,,,,166,,,,13,,,,,,,,,,,,,,,,,,,,,,
1610002,,,,208,,,,16,,,,,,,,,,,,,,,,,,,,,,
1610003,,,,291,,,,23,,,,,,,,,,,,,,,,,,,,,,
1610004,,,,415,,,,33,,,,,,,,,,,,,,,,,,,,,,
1610005,,,,539,,,,43,,,,,,,,,,,,,,,,,,,,,,
1620001,,,,151,,,,14,,,,,,,,,,,,,,,,,,,,,,
1620002,,,,189,,,,18,,,,,,,,,,,,,,,,,,,,,,
1620003,,,,264,,,,25,,,,,,,,,,,,,,,,,,,,,,
1620004,,,,377,,,,36,,,,,,,,,,,,,,,,,,,,,,
1620005,,,,490,,,,47,,,,,,,,,,,,,,,,,,,,,,
1630001,,,,246,,,,24,,,,,,,,,,,,,,,,,,,,,,
1630002,,,,307,,,,29,,,,,,,,,,,,,,,,,,,,,,
1630003,,,,430,,,,41,,,,,,,,,,,,,,,,,,,,,,
1630004,,,,614,,,,59,,,,,,,,,,,,,,,,,,,,,,
1640001,,,,344,,,,14,,,,,,,,,,,,,,,,,,,,,,
1640002,,,,430,,,,18,,,,,,,,,,,,,,,,,,,,,,
1640003,,,,602,,,,25,,,,,,,,,,,,,,,,,,,,,,
1640004,,,,860,,,,35,,,,,,,,,,,,,,,,,,,,,,
1601001,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1601002,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1601003,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,
1601004,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,
1611001,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,
1611002,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,
1611003,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,
1611004,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,
1621001,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1621002,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1621003,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,
1621004,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
1641001,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,
1641002,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,
1641003,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,
1641004,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,
1641005,,,,,0.1,115,,,,,,,,,,,,,,,,,,,,,,,,
1641006,,,,,0.15,235,,,,,,,,,,,,,,,,,,,,,,,,
1641007,,,,,0.2,350,,,,,,,,,,,,,,,,,,,,,,,,
1641008,,,,,0.3,470,,,,,,,,,,,,,,,,,,,,,,,,
1641009,,,,,,,,,,,,,,,,,,,,,,,,1641009,,,,,,
1641010,,,,,,,,,,,,,,,,,,,,,,,,1641010,,,,,,
1641011,,,,,,,,,,,,,,,,,,,,,,,,1641011,,,,,,
1641012,,,,,,,,,,,,,,,,,,,,,,,,1641012,,,,,,
1631001,,,EnergeRecover+1005+0.5&EnergeRecover+1007+0.5,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631002,,,EnergeRecover+1005+0.6&EnergeRecover+1007+0.6,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631003,,,EnergeRecover+1005+0.7&EnergeRecover+1007+0.7,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631004,,,EnergeRecover+1005+0.8&EnergeRecover+1007+0.8,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631005,,,EnergeRecover+2004+0.5&EnergeRecover+2006+0.5,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631006,,,EnergeRecover+2004+0.6&EnergeRecover+2006+0.6,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631007,,,EnergeRecover+2004+0.7&EnergeRecover+2006+0.7,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631008,,,EnergeRecover+2004+0.8&EnergeRecover+2006+0.8,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631009,,,SkillAttack+3004+0.15&SkillAttack+3006+0.15,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631010,,,SkillAttack+3004+0.2&SkillAttack+3006+0.2,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631011,,,SkillAttack+3004+0.25&SkillAttack+3006+0.25,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631012,,,SkillAttack+3004+0.3&SkillAttack+3006+0.3,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631013,,,PetBuff+4101+0+1631013&PetBuff+4102+0+1631013,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631014,,,PetBuff+4101+0+1631014&PetBuff+4102+0+1631014,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631015,,,PetBuff+4101+0+1631015&PetBuff+4102+0+1631015,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631016,,,PetBuff+4101+0+1631016&PetBuff+4102+0+1631016,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631017,,,,,0.06,,,,,,,,,,,,,,,,,,,1631017,,,,,,
1631018,,,,,0.06,,,,,,,,,,,,,,,,,,,1631018,,,,,,
1631019,,,,,0.1,,,,,,,,,,,,,,,,,,,1631019,,,,,,
1631020,,,,,0.1,,,,,,,,,,,,,,,,,,,1631020,,,,,,
1631021,,,,,0.06,,,,,,,,,,,,,,,,,,,1631021,,,,,,
1631022,,,,,0.06,,,,,,,,,,,,,,,,,,,1631022,,,,,,
1631023,,,,,0.1,,,,,,,,,,,,,,,,,,,1631023,,,,,,
1631024,,,,,0.1,,,,,,,,,,,,,,,,,,,1631024,,,,,,
1631025,,,PetBuff+7101+0+1631025&PetBuff+7102+0+1631025,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631026,,,PetBuff+7101+0+1631026&PetBuff+7102+0+1631026,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631027,,,PetBuff+7101+0+1631027&PetBuff+7102+0+1631027,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631028,,,PetBuff+7101+0+1631028&PetBuff+7102+0+1631028,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631029,,,SkillAttack+8005+0.25&SkillAttack+8007+0.25,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631030,,,SkillAttack+8005+0.3&SkillAttack+8007+0.3,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631031,,,SkillAttack+8005+0.35&SkillAttack+8007+0.35,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631032,,,SkillAttack+8005+0.4&SkillAttack+8007+0.4,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631033,,,SkillAttack+9005+0.1&SkillAttack+9007+0.1,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631034,,,SkillAttack+9005+0.15&SkillAttack+9007+0.15,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631035,,,SkillAttack+9005+0.2&SkillAttack+9007+0.2,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631036,,,SkillAttack+9005+0.25&SkillAttack+9007+0.25,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631037,,,,,0.06,,,,,,,,,,,,,,,,,,,1631037,,,,,,
1631038,,,,,0.06,,,,,,,,,,,,,,,,,,,1631038,,,,,,
1631039,,,,,0.1,,,,,,,,,,,,,,,,,,,1631039,,,,,,
1631040,,,,,0.1,,,,,,,,,,,,,,,,,,,1631040,,,,,,
1631041,,,SkillAttack+11005+0.15&SkillAttack+11007+0.15,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631042,,,SkillAttack+11005+0.2&SkillAttack+11007+0.2,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631043,,,SkillAttack+11005+0.25&SkillAttack+11007+0.25,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631044,,,SkillAttack+11005+0.3&SkillAttack+11007+0.3,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631045,,,EnergeRecover+12005+0.5&EnergeRecover+12007+0.5,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631046,,,EnergeRecover+12005+0.6&EnergeRecover+12007+0.6,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631047,,,EnergeRecover+12005+0.7&EnergeRecover+12007+0.7,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631048,,,EnergeRecover+12005+0.8&EnergeRecover+12007+0.8,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631049,,,SkillAttack+13005+0.1&SkillAttack+13007+0.1,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631050,,,SkillAttack+13005+0.15&SkillAttack+13007+0.15,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631051,,,SkillAttack+13005+0.2&SkillAttack+13007+0.2,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631052,,,SkillAttack+13005+0.25&SkillAttack+13007+0.25,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631053,,,SkillAttack+14005+0.15&SkillAttack+14007+0.15,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631054,,,SkillAttack+14005+0.2&SkillAttack+14007+0.2,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631055,,,SkillAttack+14005+0.25&SkillAttack+14007+0.25,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631056,,,SkillAttack+14005+0.3&SkillAttack+14007+0.3,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631057,,,SkillAttack+15005+0.15&SkillAttack+15007+0.15,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631058,,,SkillAttack+15005+0.2&SkillAttack+15007+0.2,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631059,,,SkillAttack+15005+0.25&SkillAttack+15007+0.25,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631060,,,SkillAttack+15005+0.3&SkillAttack+15007+0.3,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631061,,,EnergeRecover+16005+0.5&EnergeRecover+16007+0.5,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631062,,,EnergeRecover+16005+0.6&EnergeRecover+16007+0.6,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631063,,,EnergeRecover+16005+0.7&EnergeRecover+16007+0.7,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631064,,,EnergeRecover+16005+0.8&EnergeRecover+16007+0.8,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631065,,,SkillAttack+17005+0.15&SkillAttack+17007+0.15,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631066,,,SkillAttack+17005+0.2&SkillAttack+17007+0.2,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631067,,,SkillAttack+17005+0.25&SkillAttack+17007+0.25,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631068,,,SkillAttack+17005+0.3&SkillAttack+17007+0.3,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631069,,,SkillAttack+18005+0.15&SkillAttack+18007+0.15,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631070,,,SkillAttack+18005+0.2&SkillAttack+18007+0.2,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631071,,,SkillAttack+18005+0.25&SkillAttack+18007+0.25,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631072,,,SkillAttack+18005+0.3&SkillAttack+18007+0.3,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631073,,,SkillAttack+19005+0.15&SkillAttack+19007+0.15,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631074,,,SkillAttack+19005+0.2&SkillAttack+19007+0.2,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631075,,,SkillAttack+19005+0.25&SkillAttack+19007+0.25,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631076,,,SkillAttack+19005+0.3&SkillAttack+19007+0.3,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631077,,,SkillAttack+20005+0.15&SkillAttack+20007+0.15,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631078,,,SkillAttack+20005+0.2&SkillAttack+20007+0.2,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631079,,,SkillAttack+20005+0.25&SkillAttack+20007+0.25,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631080,,,SkillAttack+20005+0.3&SkillAttack+20007+0.3,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631081,,,SkillAttack+21005+0.15&SkillAttack+21007+0.15,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631082,,,SkillAttack+21005+0.2&SkillAttack+21007+0.2,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631083,,,SkillAttack+21005+0.25&SkillAttack+21007+0.25,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631084,,,SkillAttack+21005+0.3&SkillAttack+21007+0.3,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631085,,,SkillAttack+22005+0.15&SkillAttack+22007+0.15,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631086,,,SkillAttack+22005+0.2&SkillAttack+22007+0.2,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631087,,,SkillAttack+22005+0.25&SkillAttack+22007+0.25,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631088,,,SkillAttack+22005+0.3&SkillAttack+22007+0.3,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631089,,,SkillAttack+90005+0.15&SkillAttack+90007+0.15,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631090,,,SkillAttack+90005+0.2&SkillAttack+90007+0.2,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631091,,,SkillAttack+90005+0.25&SkillAttack+90007+0.25,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631092,,,SkillAttack+90005+0.3&SkillAttack+90007+0.3,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631093,,,SkillAttack+91005+0.15&SkillAttack+91007+0.15,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631094,,,SkillAttack+91005+0.2&SkillAttack+91007+0.2,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631095,,,SkillAttack+91005+0.25&SkillAttack+91007+0.25,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631096,,,SkillAttack+91005+0.3&SkillAttack+91007+0.3,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631097,,,SkillAttack+23005+0.15&SkillAttack+23007+0.15,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631098,,,SkillAttack+23005+0.2&SkillAttack+23007+0.2,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631099,,,SkillAttack+23005+0.25&SkillAttack+23007+0.25,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631100,,,SkillAttack+23005+0.3&SkillAttack+23007+0.3,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631101,,,SkillAttack+24005+0.15&SkillAttack+24007+0.15,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631102,,,SkillAttack+24005+0.2&SkillAttack+24007+0.2,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631103,,,SkillAttack+24005+0.25&SkillAttack+24007+0.25,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631104,,,SkillAttack+24005+0.3&SkillAttack+24007+0.3,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631105,,,SkillAttack+25005+0.15&SkillAttack+25007+0.15,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631106,,,SkillAttack+25005+0.2&SkillAttack+25007+0.2,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631107,,,SkillAttack+25005+0.25&SkillAttack+25007+0.25,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631108,,,SkillAttack+25005+0.3&SkillAttack+25007+0.3,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631109,,,SkillAttack+26005+0.15&SkillAttack+26007+0.15,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631110,,,SkillAttack+26005+0.2&SkillAttack+26007+0.2,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
