ID,UnlockTip,RoleCondition,ItemCondition,SkinCondition,IntimacyLV
536,T_Puzzle_UnlockTip_308,37001,,,6
537,T_Puzzle_UnlockTip_309,37001,,,9
538,T_Puzzle_UnlockTip_310,37001,,,10
539,T_Puzzle_UnlockTip_311,37001,,,11
540,T_Puzzle_UnlockTip_12,37001,,3,
541,T_Puzzle_UnlockTip_301,38001,,,1
542,T_Puzzle_UnlockTip_302,38001,,,2
543,T_Puzzle_UnlockTip_303,38001,,,3
544,T_Puzzle_UnlockTip_304,38001,,,4
545,T_Puzzle_UnlockTip_305,38001,,,5
546,T_Puzzle_UnlockTip_306,38001,,,5
547,T_Puzzle_UnlockTip_307,38001,,,6
548,T_Puzzle_UnlockTip_308,38001,,,6
549,T_Puzzle_UnlockTip_309,38001,,,9
550,T_Puzzle_UnlockTip_310,38001,,,10
551,T_Puzzle_UnlockTip_311,38001,,,11
552,T_Puzzle_UnlockTip_12,38001,,3,
553,T_Puzzle_UnlockTip_301,39001,,,1
554,T_Puzzle_UnlockTip_302,39001,,,2
555,T_Puzzle_UnlockTip_303,39001,,,3
556,T_Puzzle_UnlockTip_304,39001,,,4
557,T_Puzzle_UnlockTip_305,39001,,,5
558,T_Puzzle_UnlockTip_306,39001,,,5
559,T_Puzzle_UnlockTip_307,39001,,,6
560,T_Puzzle_UnlockTip_308,39001,,,6
561,T_Puzzle_UnlockTip_309,39001,,,9
562,T_Puzzle_UnlockTip_310,39001,,,10
563,T_Puzzle_UnlockTip_311,39001,,,11
564,T_Puzzle_UnlockTip_12,39001,,3,
565,T_Puzzle_UnlockTip_301,10040001,,,1
566,T_Puzzle_UnlockTip_302,10040001,,,2
567,T_Puzzle_UnlockTip_303,10040001,,,3
568,T_Puzzle_UnlockTip_304,10040001,,,4
569,T_Puzzle_UnlockTip_305,10040001,,,5
570,T_Puzzle_UnlockTip_306,10040001,,,5
571,T_Puzzle_UnlockTip_307,10040001,,,6
572,T_Puzzle_UnlockTip_308,10040001,,,6
573,T_Puzzle_UnlockTip_309,10040001,,,9
574,T_Puzzle_UnlockTip_310,10040001,,,10
575,T_Puzzle_UnlockTip_311,10040001,,,11
576,T_Puzzle_UnlockTip_12,10040001,,3,
577,T_Puzzle_UnlockTip_301,10041001,,,1
578,T_Puzzle_UnlockTip_302,10041001,,,2
579,T_Puzzle_UnlockTip_303,10041001,,,3
580,T_Puzzle_UnlockTip_304,10041001,,,4
581,T_Puzzle_UnlockTip_305,10041001,,,5
582,T_Puzzle_UnlockTip_306,10041001,,,5
583,T_Puzzle_UnlockTip_307,10041001,,,6
584,T_Puzzle_UnlockTip_308,10041001,,,6
585,T_Puzzle_UnlockTip_309,10041001,,,9
586,T_Puzzle_UnlockTip_310,10041001,,,10
587,T_Puzzle_UnlockTip_311,10041001,,,11
588,T_Puzzle_UnlockTip_12,10041001,,3,
589,T_Puzzle_UnlockTip_301,10042001,,,1
590,T_Puzzle_UnlockTip_302,10042001,,,2
591,T_Puzzle_UnlockTip_303,10042001,,,3
592,T_Puzzle_UnlockTip_304,10042001,,,4
593,T_Puzzle_UnlockTip_305,10042001,,,5
594,T_Puzzle_UnlockTip_306,10042001,,,5
595,T_Puzzle_UnlockTip_307,10042001,,,6
596,T_Puzzle_UnlockTip_308,10042001,,,6
597,T_Puzzle_UnlockTip_309,10042001,,,9
598,T_Puzzle_UnlockTip_310,10042001,,,10
599,T_Puzzle_UnlockTip_311,10042001,,,11
600,T_Puzzle_UnlockTip_12,10042001,,3,
