RoleID,Level,Intimacy,RewardTip,VersionControl
36001,5,220,T_Intimacy_RewardTip_36001_4,
36001,6,280,T_Intimacy_RewardTip_36001_5,
36001,7,400,,
36001,8,560,,
36001,9,800,T_Intimacy_RewardTip_36001_8,
36001,10,1120,T_Intimacy_RewardTip_36001_9,
36001,11,1600,T_Intimacy_RewardTip_36001_10,
36001,12,2100,T_Intimacy_RewardTip_1001_11,
36001,13,2100,,529
36001,14,2100,T_Intimacy_RewardTip_1001_13,529
36001,15,,T_Intimacy_RewardTip_1001_14,529
37001,1,40,T_Intimacy_RewardTip_37001,
37001,2,80,T_Intimacy_RewardTip_37001_1,
37001,3,120,T_Intimacy_RewardTip_37001_2,
37001,4,160,T_Intimacy_RewardTip_37001_3,
37001,5,220,T_Intimacy_RewardTip_37001_4,
37001,6,280,T_Intimacy_RewardTip_37001_5,
37001,7,400,,
37001,8,560,,
37001,9,800,T_Intimacy_RewardTip_37001_8,
37001,10,1120,T_Intimacy_RewardTip_37001_9,
37001,11,1600,T_Intimacy_RewardTip_37001_10,
37001,12,2100,T_Intimacy_RewardTip_1001_11,
37001,13,2100,,531
37001,14,2100,T_Intimacy_RewardTip_1001_13,531
37001,15,,T_Intimacy_RewardTip_1001_14,531
38001,1,40,T_Intimacy_RewardTip_38001,
38001,2,80,T_Intimacy_RewardTip_38001_1,
38001,3,120,T_Intimacy_RewardTip_38001_2,
38001,4,160,T_Intimacy_RewardTip_38001_3,
38001,5,220,T_Intimacy_RewardTip_38001_4,
38001,6,280,T_Intimacy_RewardTip_38001_5,
38001,7,400,,
38001,8,560,,
38001,9,800,T_Intimacy_RewardTip_38001_8,
38001,10,1120,T_Intimacy_RewardTip_38001_9,
38001,11,1600,T_Intimacy_RewardTip_38001_10,
38001,12,2100,T_Intimacy_RewardTip_1001_11,
38001,13,2100,,533
38001,14,2100,T_Intimacy_RewardTip_1001_13,533
38001,15,,T_Intimacy_RewardTip_1001_14,533
39001,1,40,T_Intimacy_RewardTip_39001,
39001,2,80,T_Intimacy_RewardTip_39001_1,
39001,3,120,T_Intimacy_RewardTip_39001_2,
39001,4,160,T_Intimacy_RewardTip_39001_3,
39001,5,220,T_Intimacy_RewardTip_39001_4,
39001,6,280,T_Intimacy_RewardTip_39001_5,
39001,7,400,,
39001,8,560,,
39001,9,800,T_Intimacy_RewardTip_39001_8,
39001,10,1120,T_Intimacy_RewardTip_39001_9,
39001,11,1600,T_Intimacy_RewardTip_39001_10,
39001,12,,T_Intimacy_RewardTip_1001_11,
10040001,1,40,T_Intimacy_RewardTip_10040001,
10040001,2,80,T_Intimacy_RewardTip_10040001_1,
10040001,3,120,T_Intimacy_RewardTip_10040001_2,
10040001,4,160,T_Intimacy_RewardTip_10040001_3,
10040001,5,220,T_Intimacy_RewardTip_10040001_4,
10040001,6,280,T_Intimacy_RewardTip_10040001_5,
10040001,7,400,,
10040001,8,560,,
10040001,9,800,T_Intimacy_RewardTip_10040001_8,
10040001,10,1120,T_Intimacy_RewardTip_10040001_9,
10040001,11,1600,T_Intimacy_RewardTip_10040001_10,
10040001,12,,T_Intimacy_RewardTip_1001_11,
10041001,1,40,T_Intimacy_RewardTip_10041001,
10041001,2,80,T_Intimacy_RewardTip_10041001_1,
10041001,3,120,T_Intimacy_RewardTip_10041001_2,
10041001,4,160,T_Intimacy_RewardTip_10041001_3,
10041001,5,220,T_Intimacy_RewardTip_10041001_4,
10041001,6,280,T_Intimacy_RewardTip_10041001_5,
10041001,7,400,,
10041001,8,560,,
10041001,9,800,T_Intimacy_RewardTip_10041001_8,
10041001,10,1120,T_Intimacy_RewardTip_10041001_9,
10041001,11,1600,T_Intimacy_RewardTip_10041001_10,
10041001,12,,T_Intimacy_RewardTip_1001_11,
10042001,1,40,T_Intimacy_RewardTip_10042001,
10042001,2,80,T_Intimacy_RewardTip_10042001_1,
10042001,3,120,T_Intimacy_RewardTip_10042001_2,
10042001,4,160,T_Intimacy_RewardTip_10042001_3,
10042001,5,220,T_Intimacy_RewardTip_10042001_4,
10042001,6,280,T_Intimacy_RewardTip_10042001_5,
10042001,7,400,,
10042001,8,560,,
10042001,9,800,T_Intimacy_RewardTip_10042001_8,
10042001,10,1120,T_Intimacy_RewardTip_10042001_9,
10042001,11,1600,T_Intimacy_RewardTip_10042001_10,
10042001,12,,T_Intimacy_RewardTip_1001_11,
