ID,ShowID,Highlight,Role1,RoleMotion1,RoleScale1,RoleColor1,RoleEffects1,Role2,RoleMotion2,RoleScale2,RoleColor2,RoleEffects2,Role3,RoleMotion3,RoleScale3,RoleColor3,RoleEffects3,Sound,Music,DialogImagePerfab,ShowType,Speaker,Dialog,CantSkip,DialogType
P04_h3_25,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P04_h3_25,,
P04_h3_26,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P04_h3_26,,
P04_h3_27,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P004_1_1,T_Dialog_Dialog_P007_3_29,,
P04_h3_28,,1,,,,,,,,,,,,,,,,,Story_tsutsu_slow,Icon/Images03_HCG/P004_CG3_01,,,T_Dialog_Dialog_P04_h3_28,,
P04_h3_29,,1,,,,,,,,,,,,,,,,Story_tsutsu_fast,BGM00,,,,T_Dialog_Dialog_P04_h3_29,,
P04_h3_30,,1,,,,,,,,,,,,,,,,player/Player/R18_P04_01/P004_Story_04-Story_tsutsu_fast,,,,T_Dialog_Speaker_P004_1_1,T_Dialog_Dialog_P04_h3_30,,
P04_h3_31,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P04_h3_31,,
P04_h3_32,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P04_h3_32,,
P04_h3_33,,1,,,,,,,,,,,,,,,,player/Player/R18_P04_01/P004_Story_08,,,,T_Dialog_Speaker_P004_1_1,T_Dialog_Dialog_P04_h3_33,,
P04_h3_34,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P04_h3_34,,
P04_h3_35,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P004_1_1,T_Dialog_Dialog_P04_h3_35,,
P04_h3_36,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P04_h3_36,,
P04_h3_37,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P04_h3_37,,
P04_h3_38,,1,,,,,,,,,,,,,,,,player/Player/R18_P04_01/P004_general_06,,Icon/Images03_HCG/P004_CG3_03,,T_Dialog_Speaker_P004_1_1,T_Dialog_Dialog_P04_h3_38,,
P04_h3_39,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P04_h3_39,,
P04_h3_40,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P004_1_1,T_Dialog_Dialog_P04_h3_40,,
P04_h3_41,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P04_h3_41,,
P04_h3_42,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P04_h3_42,,
P04_h3_43,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P04_h3_43,,
P04_h3_44,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P04_h3_44,,
P04_h3_45,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P04_h3_45,,
P04_h3_46,,1,,,,,,,,,,,,,,,,Story_putin,,Icon/Images03_HCG/P004_CG3_04,,T_Dialog_Speaker_P004_1_1,T_Dialog_Dialog_P04_h3_46,,
P04_h3_47,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P04_h3_47,,
P04_h3_48,,1,,,,,,,,,,,,,,,,player/Player/R18_P04_01/P004_Victory_02,,Icon/Images03_HCG/P004_CG3_05,,T_Dialog_Speaker_P004_1_1,T_Dialog_Dialog_P04_h3_48,,
P04_h3_49,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P04_h3_49,,
P04_h3_50,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P04_h3_50,,
P04_h3_51,,1,,,,,,,,,,,,,,,,player/Player/R18_P04_01/P004_Choice_02,,,,T_Dialog_Speaker_P004_1_1,T_Dialog_Dialog_P04_h3_51,,
P04_h3_52,,1,,,,,,,,,,,,,,,,Story_papa_slow,,,,,T_Dialog_Dialog_P04_h3_52,,
P04_h3_53,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P004_1_1,T_Dialog_Dialog_P04_h3_53,,
P04_h3_54,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P04_h3_54,,
P04_h3_55,,1,,,,,,,,,,,,,,,,player/Player/R18_P04_01/P004_Gift_01,,,,T_Dialog_Speaker_P004_1_1,T_Dialog_Dialog_P04_h3_55,,
P04_h3_56,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P04_h3_56,,
P04_h3_57,,1,,,,,,,,,,,,,,,,player/Player/R18_P04_01/P004_Story_05-Story_papa_slow,,Icon/Images03_HCG/P004_CG3_04,,T_Dialog_Speaker_P004_1_1,T_Dialog_Dialog_P04_h3_57,,
P04_h3_58,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P04_h3_58,,
P04_h3_59,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P04_h3_59,,
P04_h3_60,,1,,,,,,,,,,,,,,,,player/Player/R18_P04_01/P004_Story_07,Story_papa_slow,Icon/Images03_HCG/P004_CG3_07,,T_Dialog_Speaker_P004_1_1,T_Dialog_Dialog_P004_h1_36,,
P04_h3_61,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P04_h3_61,,
P04_h3_62,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P04_h3_62,,
P04_h3_63,,1,,,,,,,,,,,,,,,,player/Player/R18_P04_01/P004_Story_06,,,,T_Dialog_Speaker_P004_1_1,T_Dialog_Dialog_P004_h1_34,,
P04_h3_64,,1,,,,,,,,,,,,,,,,,BGM00,Icon/Images03_HCG/P004_CG3_04,,,T_Dialog_Dialog_P04_h3_64,,
P04_h3_65,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P04_h3_65,,
P04_h3_66,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P04_h3_66,,
P04_h3_67,,1,,,,,,,,,,,,,,,,player/Player/R18_P04_01/P004_Story_08,Story_papa_slow,,,T_Dialog_Speaker_P004_1_1,T_Dialog_Dialog_P04_h3_67,,
P04_h3_68,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P04_h3_68,,
P04_h3_69,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P04_h3_69,,
P04_h3_70,,1,,,,,,,,,,,P000_FX_White,,,,,player/Player/R18_P04_01/P004_Story_09-Story_iku_male,BGM00,Icon/Images03_HCG/P004_CG3_06,,T_Dialog_Speaker_P004_1_1,T_Dialog_Dialog_P004_h2_53,,
P04_h3_71,,1,,,,,,,,,,,no,,,,,,,,,,T_Dialog_Dialog_P04_h3_71,,
P04_h3_72,,1,,,,,,,,,,,,,,,,player/Player/R18_P04_01/P004_Story_10,,,,T_Dialog_Speaker_P004_1_1,T_Dialog_Dialog_P004_h2_56,,
P04_h3_73,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P04_h3_73,,
P04_h3_74,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P004_1_1,T_Dialog_Dialog_P04_h3_74,,
P05_h3_1,P05_h3,,,,,,,,,,,,,,,,,,BGM00,Icon/Images01_BG/S011,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P05_h3_1,,
P05_h3_2,,,P007_000_Laugh,,,#FFFFFFFF,,P003_000_Laugh,,,#FFFFFFFF,,P005_000_Sleep,,,#FFFFFFFF,,,,,,T_Dialog_Speaker_P008_2_1,T_Dialog_Dialog_P05_h3_2,,
P05_h3_3,,,no,,,,,no,,,,,P005_000,,,#FFFFFFFF,,player/Player/R18_P05_01/P005_general_03,,,,T_Dialog_Speaker_P002_N_2_21,T_Dialog_Dialog_P05_h3_3,,
P05_h3_4,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P05_h3_4,,
P05_h3_5,,,,,,,,,,,,,P005_000_Helpless,,,#FFFFFFFF,,player/Player/R18_P05_01/P005_general_04,,,,T_Dialog_Speaker_P002_N_2_21,T_Dialog_Dialog_P05_h3_5,,
P05_h3_6,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P05_h3_6,,
P05_h3_7,,,,,,,,,,,,,P005_000_Surprise,shake,,#FFFFFFFF,,player/Player/R18_P05_01/P005_general_06,,,,T_Dialog_Speaker_P002_N_2_21,T_Dialog_Dialog_P05_h3_7,,
P05_h3_8,,,,,,,,,,,,,no,,,,,,,,,,T_Dialog_Dialog_P001_4_5,,
P05_h3_9,,1,,,,,,,,,,,,,,,,,BGM00,Icon/Images03_HCG/P005_CG3_01,,,T_Dialog_Dialog_P05_h3_9,,
P05_h3_10,,1,,,,,,,,,,,,,,,,player/Player/R18_P05_01/P005_Hit_02,,,,T_Dialog_Speaker_P002_N_2_21,T_Dialog_Dialog_P05_h3_10,,
P05_h3_11,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P05_h3_11,,
P05_h3_12,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P05_h3_12,,
P05_h3_13,,1,,,,,,,,,,,,,,,,player/Player/R18_P05_01/P005_Overhit_02,,,,T_Dialog_Speaker_P002_N_2_21,T_Dialog_Dialog_P05_h3_13,,
P05_h3_14,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P05_h3_14,,
P05_h3_15,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P05_h3_15,,
P05_h3_16,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P05_h3_16,,
P05_h3_17,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P05_h3_17,,
P05_h3_18,,1,,,,,,,,,,,,,,,,,,Icon/Images03_HCG/P005_CG3_02,,,T_Dialog_Dialog_P05_h3_18,,
P05_h3_19,,1,,,,,,,,,,,,,,,,player/Player/R18_P05_01/P005_Overhit_01,,,,T_Dialog_Speaker_P002_N_2_21,T_Dialog_Dialog_P05_h3_19,,
P05_h3_20,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P05_h3_20,,
P05_h3_21,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P05_h3_21,,
P05_h3_22,,1,,,,,,,,,,,,,,,,player/Player/R18_P05_01/P005_Story_02,,,,T_Dialog_Speaker_P002_N_2_21,T_Dialog_Dialog_P005_h1_22,,
P05_h3_23,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P05_h3_23,,
P05_h3_24,,1,,,,,,,,,,,,,,,,player/Player/R18_P05_01/P005_Story_01,,,,T_Dialog_Speaker_P002_N_2_21,T_Dialog_Dialog_P05_h3_24,,
P05_h3_25,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P05_h3_25,,
P05_h3_26,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P05_h3_26,,
P05_h3_27,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P05_h3_27,,
P05_h3_28,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P05_h3_28,,
P05_h3_29,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P002_N_2_21,T_Dialog_Dialog_P001_2_21,,
P05_h3_30,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P05_h3_30,,
P05_h3_31,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P05_h3_31,,
P05_h3_32,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P05_h3_32,,
P05_h3_33,,1,,,,,,,,,,,,,,,,Story_putin,,Icon/Images03_HCG/P005_CG3_03,,,T_Dialog_Dialog_P05_h3_33,,
P05_h3_34,,1,,,,,,,,,,,,,,,,player/Player/R18_P05_01/P005_Story_03,,,,T_Dialog_Speaker_P002_N_2_21,T_Dialog_Dialog_P05_h3_34,,
P05_h3_35,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P05_h3_35,,
P05_h3_36,,1,,,,,,,,,,,,,,,,Story_papa_slow,,,,,T_Dialog_Dialog_P05_h3_36,,
P05_h3_37,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P05_h3_37,,
P05_h3_38,,1,,,,,,,,,,,,,,,,player/Player/R18_P05_01/P005_Story_04,Story_papa_slow,Icon/Images03_HCG/P005_CG3_05,,T_Dialog_Speaker_P002_N_2_21,T_Dialog_Dialog_P05_h3_38,,
P05_h3_39,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P05_h3_39,,
P05_h3_40,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P05_h3_40,,
P05_h3_41,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P05_h3_41,,
P05_h3_42,,1,,,,,,,,,,,,,,,,player/Player/R18_P05_01/P005_Story_07,,,,T_Dialog_Speaker_P002_N_2_21,T_Dialog_Dialog_P005_h1_47,,
P05_h3_43,,1,,,,,,,,,,,,,,,,,BGM00,Icon/Images03_HCG/P005_CG3_03,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P05_h3_43,,
P05_h3_44,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P05_h3_44,,
P05_h3_45,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P05_h3_45,,
P05_h3_46,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P05_h3_46,,
P05_h3_47,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P05_h3_47,,
P05_h3_48,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P05_h3_48,,
P05_h3_49,,1,,,,,,,,,,,,,,,,player/Player/R18_P05_01/P005_Story_05,Story_papa_slow,,,T_Dialog_Speaker_P002_N_2_21,T_Dialog_Dialog_P005_h1_44,,
P05_h3_50,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P05_h3_50,,
P05_h3_51,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P05_h3_51,,
P05_h3_52,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P05_h3_52,,
P05_h3_53,,1,,,,,,,,,,,,,,,,player/Player/R18_P05_01/P005_Story_10,Story_papa_fast,,,T_Dialog_Speaker_P002_N_2_21,T_Dialog_Dialog_P005_h2_48,,
P05_h3_54,,1,,,,,,,,,,,P000_FX_White,normal,,,,Story_iku_male,BGM00,Icon/Images03_HCG/P005_CG3_04,,T_Dialog_Speaker_P002_N_2_21,T_Dialog_Dialog_P05_h3_54,,
P05_h3_55,,1,,,,,,,,,,,no,,,,,,,,,,T_Dialog_Dialog_P05_h3_55,,
P05_h3_56,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P05_h3_56,,
P05_h3_57,,1,,,,,,,,,,,,,,,,player/Player/R18_P05_01/P005_Story_08,,,,T_Dialog_Speaker_P002_N_2_21,T_Dialog_Dialog_P05_h3_57,,
P05_h3_58,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P05_h3_58,,
P05_h3_59,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P002_N_2_21,T_Dialog_Dialog_P05_h3_59,,
P05_h3_60,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P05_h3_60,,
P06_h3_1,P06_h3,,,,,,,,,,,,,,,,,,BGM00,Icon/Images01_BG/S006,,,T_Dialog_Dialog_P06_h3_1,,
P06_h3_2,,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P06_h3_2,,
P06_h3_3,,,,,,,,,,,,,P006_000_Hate,,,#FFFFFFFF,,player/Player/R18_P06_01/P006_Gift_01,,,,T_Dialog_Speaker_P001_1_2,T_Dialog_Dialog_P06_h3_3,,
P06_h3_4,,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P06_h3_4,,
P06_h3_5,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P06_h3_5,,
P06_h3_6,,,,,,,,,,,,,,,,#FFFFFFFF,,player/Player/R18_P06_01/P006_Live_01,,,,T_Dialog_Speaker_P001_1_2,T_Dialog_Dialog_P06_h3_6,,
P06_h3_7,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,,T_Dialog_Dialog_P06_h3_7,,
P06_h3_8,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P06_h3_8,,
P06_h3_9,,,,,,,,,,,,,P006_000_Surprise,,,#FFFFFFFF,,,,,,T_Dialog_Speaker_P001_1_2,T_Dialog_Dialog_P010_4_31,,
P06_h3_10,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,,T_Dialog_Dialog_P06_h3_10,,
P06_h3_11,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P06_h3_11,,
P06_h3_12,,,,,,,,,,,,,P006_000_Hate,,,#FFFFFFFF,,player/Player/R18_P06_01/P006_Break_02,,,,T_Dialog_Speaker_P001_1_2,T_Dialog_Dialog_P06_h3_12,,
P06_h3_13,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P06_h3_13,,
P06_h3_14,,,,,,,,,,,,,no,,,,,,,,,,T_Dialog_Dialog_P001_4_5,,
P06_h3_15,,,,,,,,,,,,,,,,,,,,Icon/Images03_HCG/P006_CG3_01,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P06_h3_15,,
P06_h3_16,,1,,,,,,,,,,,,,,,,,BGM00,Icon/Images03_HCG/P006_CG3_01,,,T_Dialog_Dialog_P06_h3_16,,
P06_h3_17,,1,,,,,,,,,,,,,,,,player/Player/R18_P06_01/P006_Overhit_03,,,,T_Dialog_Speaker_P001_1_2,T_Dialog_Dialog_P06_h3_17,,
P06_h3_18,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P06_h3_18,,
P06_h3_19,,1,,,,,,,,,,,,,,,,player/Player/R18_P06_01/P006_Overhit_01,,Icon/Images03_HCG/P006_CG3_02,,T_Dialog_Speaker_P001_1_2,T_Dialog_Dialog_P004_h1_42,,
P06_h3_20,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P06_h3_20,,
P06_h3_21,,1,,,,,,,,,,,,,,,,,Story_tsutsu_slow,,,,T_Dialog_Dialog_P06_h3_21,,
P06_h3_22,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P06_h3_22,,
P06_h3_23,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P06_h3_23,,
P06_h3_24,,1,,,,,,,,,,,,,,,,player/Player/R18_P06_01/P006_Story_01,,,,T_Dialog_Speaker_P001_1_2,T_Dialog_Dialog_P06_h3_24,,
P06_h3_25,,1,,,,,,,,,,,,,,,,,BGM00,,,,T_Dialog_Dialog_P06_h3_25,,
P06_h3_26,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P06_h3_26,,
P06_h3_27,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_2,T_Dialog_Dialog_P06_h3_27,,
P06_h3_28,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P06_h3_28,,
P06_h3_29,,1,,,,,,,,,,,,,,,,Story_putin,,Icon/Images03_HCG/P006_CG3_03,,,T_Dialog_Dialog_P06_h3_29,,
P06_h3_30,,1,,,,,,,,,,,,,,,,player/Player/R18_P06_01/P006_Story_04,,,,T_Dialog_Speaker_P001_1_2,T_Dialog_Dialog_P06_h3_30,,
P06_h3_31,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P06_h3_31,,
P06_h3_32,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P06_h3_32,,
P06_h3_33,,1,,,,,,,,,,,,,,,,player/Player/R18_P06_01/P006_Story_02,Story_papa_slow,Icon/Images03_HCG/P006_CG3_06,,T_Dialog_Speaker_P001_1_2,T_Dialog_Dialog_P006_h1_19,,
P06_h3_34,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P06_h3_34,,
P06_h3_35,,1,,,,,,,,,,,,,,,,player/Player/R18_P06_01/P006_Story_03,,,,T_Dialog_Speaker_P001_1_2,T_Dialog_Dialog_P06_h3_35,,
P06_h3_36,,1,,,,,,,,,,,,,,,,,BGM00,Icon/Images03_HCG/P006_CG3_03,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P06_h3_36,,
P06_h3_37,,1,,,,,,,,,,,,,,,,,Story_papa_fast,,,,T_Dialog_Dialog_P06_h3_37,,
P06_h3_38,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P06_h3_38,,
P06_h3_39,,1,,,,,,,,,,,,,,,,player/Player/R18_P06_01/P006_Story_07,,,,T_Dialog_Speaker_P001_1_2,T_Dialog_Dialog_P06_h3_39,,
P06_h3_40,,1,,,,,,,,,,,,,,,,player/Player/R18_P06_01/P006_Story_04-Story_iku_female,BGM00,Icon/Images03_HCG/P006_CG3_07,,T_Dialog_Speaker_P001_1_2,T_Dialog_Dialog_P006_h1_23,,
P06_h3_41,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P06_h3_41,,
P06_h3_42,,1,,,,,,,,,,,,,,,,player/Player/R18_P06_01/P006_Story_10,,,,T_Dialog_Speaker_P001_1_2,T_Dialog_Dialog_P006_h2_59,,
P06_h3_43,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P06_h3_43,,
P06_h3_44,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P06_h3_44,,
P06_h3_45,,1,,,,,,,,,,,,,,,,Story_putin,,Icon/Images03_HCG/P006_CG3_03,,,T_Dialog_Dialog_P06_h3_45,,
P06_h3_46,,1,,,,,,,,,,,,,,,,player/Player/R18_P06_01/P006_Story_05,,,,T_Dialog_Speaker_P001_1_2,T_Dialog_Dialog_P06_h3_46,,
P06_h3_47,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P06_h3_47,,
P06_h3_48,,1,,,,,,,,,,,,,,,,,Story_papa_slow,,,,T_Dialog_Dialog_P06_h3_48,,
P06_h3_49,,1,,,,,,,,,,,,,,,,player/Player/R18_P06_01/P006_Story_06,,,,T_Dialog_Speaker_P001_1_2,T_Dialog_Dialog_P006_h2_28,,
P06_h3_50,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P06_h3_50,,
P06_h3_51,,1,,,,,,,,,,,,,,,,player/Player/R18_P06_01/P006_Story_08,,,,T_Dialog_Speaker_P001_1_2,T_Dialog_Dialog_P006_h1_39,,
P06_h3_52,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P06_h3_52,,
P06_h3_53,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P06_h3_53,,
P06_h3_54,,1,,,,,,,,,,,,,,,,player/Player/R18_P06_01/P006_Story_03,,,,T_Dialog_Speaker_P001_1_2,T_Dialog_Dialog_P006_h1_21,,
P06_h3_55,,1,,,,,,,,,,,,,,,,,BGM00,,,,T_Dialog_Dialog_P06_h3_55,,
P06_h3_56,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P06_h3_56,,
P06_h3_57,,1,,,,,,,,,,,,,,,,,Story_papa_fsat,,,,T_Dialog_Dialog_P06_h3_57,,
P06_h3_58,,1,,,,,,,,,,,P000_FX_White,,,,,player/Player/R18_P06_01/P006_Story_09-Story_iku_male,BGM00,Icon/Images03_HCG/P006_CG3_04,,T_Dialog_Speaker_P001_1_2,T_Dialog_Dialog_P006_h1_44,,
P06_h3_59,,1,,,,,,,,,,,no,,,,,,,,,,T_Dialog_Dialog_P06_h3_59,,
P06_h3_60,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P06_h3_60,,
P06_h3_61,,1,,,,,,,,,,,,,,,,,,Icon/Images03_HCG/P006_CG3_05,,,T_Dialog_Dialog_P06_h3_61,,
P06_h3_62,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_2,T_Dialog_Dialog_P06_h3_62,,
P07_h3_1,P07_h3,,,,,,,,,,,,,,,,,,BGM00,Icon/Images01_BG/S001,,,T_Dialog_Dialog_P07_h3_1,,
P07_h3_2,,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P07_h3_2,,
P07_h3_3,,,,,,,,,,,,,,,,,,player/Player/R18_P07_01/P007_general_01,,,,T_Dialog_Speaker_P001_3_3,T_Dialog_Dialog_P07_h3_3,,
P07_h3_4,,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P07_h3_4,,
P07_h3_5,,1,,,,,,,,,,,,,,,,,BGM00,Icon/Images03_HCG/P007_CG3_01,,T_Dialog_Speaker_P001_3_3,T_Dialog_Dialog_P07_h3_5,,
P07_h3_6,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P07_h3_6,,
P07_h3_7,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P07_h3_7,,
P07_h3_8,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P07_h3_8,,
P07_h3_9,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_3_3,T_Dialog_Dialog_P07_h3_9,,
P07_h3_10,,1,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P07_h3_10,,
P07_h3_11,,1,,,,,,,,,,,,,,,,player/Player/R18_P07_01/P007_Story_01,,,,T_Dialog_Speaker_P001_3_3,T_Dialog_Dialog_P008_h2_8,,
P07_h3_12,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P07_h3_12,,
P07_h3_13,,1,,,,,,,,,,,,,,,,player/Player/R18_P07_01/P007_Overhit_03,,,,T_Dialog_Speaker_P001_3_3,T_Dialog_Dialog_P07_h3_13,,
P07_h3_14,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P07_h3_14,,
P07_h3_15,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_3_3,T_Dialog_Dialog_P07_h3_15,,
P07_h3_16,,1,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P07_h3_16,,
P07_h3_17,,1,,,,,,,,,,,,,,,,,,Icon/Images03_HCG/P007_CG3_02,,,T_Dialog_Dialog_P07_h3_17,,
P07_h3_18,,1,,,,,,,,,,,,,,,,player/Player/R18_P07_01/P007_Story_02,,,,T_Dialog_Speaker_P001_3_3,T_Dialog_Dialog_P007_4_18,,
