ID,Title,NAME,Description,Definition,DefinitionIcon,Range,Difficulty,AttackDamage,Constitution,SkillDamage,MODEL_NAME,MODEL_NAME_Lobby,NudeModel,MixAnimationType,TYPE,Icon,Icon2,Icon3,DefaultSkinIcon,Height,ATTRIBUTE_ID,NormalSkills,Skills,Runes,Equipments,FightValueRate,TrainingItemID,TrainingItemCount,SexTrainingItemID,SexTrainingItemCount,SexTrainingTips,TrainingTips,TrainingAnimationID,Score,GiftDialog,VersionControl
30001,T_CHARACTER_Title_1001,T_CHARACTER_NAME_30001,T_CHARACTER_Description_30001,1,Icon/Item/ability/Icon_Damage,T_CHARACTER_Range_1,4,6,5,6,Player/R18_P30_01,Player/R18_P30_01_Lobby,Player/R18_P30_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P30,Icon/Icon01_Head/Icon01_Head_M_P30,Icon/Icon01_Head/Icon01_Head_B_P30,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P30,3.5,30001,30001-30002-30003,30004-30005,100000-100001-100002-100003-100004-100005-100006-100007-150126-150127-100013-100014-100015-100016-100017-100018-100019-150128-150125-151030,161030-160016-160013-160010-160001-160004-160007,2.7-0.46-5,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,,375-56
31001,T_CHARACTER_Title_1,T_CHARACTER_NAME_31001,T_CHARACTER_Description_31001,2,Icon/Item/ability/Icon_Tank,T_CHARACTER_Range_1,4,6,7,5,Player/R18_P31_01,Player/R18_P31_01_Lobby,Player/R18_P31_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P31,Icon/Icon01_Head/Icon01_Head_M_P31,Icon/Icon01_Head/Icon01_Head_B_P31,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P31,3.5,31001,31001-31002-31003,31004-31005,100000-100001-100002-100003-100004-100005-100006-100007-150130-150131-100013-100014-100015-100016-100017-100018-100019-150132-150129-151031,161031-160017-160014-160011-160002-160005-160008,2.5-0.45-4.55,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,,376-56
32001,T_CHARACTER_Title_1001,T_CHARACTER_NAME_32001,T_CHARACTER_Description_32001,1,Icon/Item/ability/Icon_Damage,T_CHARACTER_Range_1,4,6,5,6,Player/R18_P32_01,Player/R18_P32_01_Lobby,Player/R18_P32_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P32,Icon/Icon01_Head/Icon01_Head_M_P32,Icon/Icon01_Head/Icon01_Head_B_P32,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P32,3.5,32001,32001-32002-32003,32004-32005,100000-100001-100002-100003-100004-100005-100006-100007-150134-150135-100013-100014-100015-100016-100017-100018-100019-150136-150133-151032,161032-160016-160013-160010-160001-160004-160007,2.7-0.46-5,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,,377-56
33001,T_CHARACTER_Title_2001,T_CHARACTER_NAME_33001,T_CHARACTER_Description_33001,3,Icon/Item/ability/Icon_Support,T_CHARACTER_Range_1,4,5,6,6,Player/R18_P33_01,Player/R18_P33_01_Lobby,Player/R18_P33_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P33,Icon/Icon01_Head/Icon01_Head_M_P33,Icon/Icon01_Head/Icon01_Head_B_P33,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P33,3.5,33001,33001-33002-33003,33004-33005,100000-100001-100002-100003-100004-100005-100006-100007-150138-150139-100013-100014-100015-100016-100017-100018-100019-150140-150137-151033,161033-160018-160015-160012-160003-160006-160009,2.5-0.45-4.8,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,,378-56
34001,T_CHARACTER_Title_1001,T_CHARACTER_NAME_34001,T_CHARACTER_Description_34001,1,Icon/Item/ability/Icon_Damage,T_CHARACTER_Range_1,4,6,6,5,Player/R18_P34_01,Player/R18_P34_01_Lobby,Player/R18_P34_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P34,Icon/Icon01_Head/Icon01_Head_M_P34,Icon/Icon01_Head/Icon01_Head_B_P34,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P34,3.5,34001,34001-34002-34003,34004-34005,100000-100001-100002-100003-100004-100005-100006-100007-150142-150143-100013-100014-100015-100016-100017-100018-100019-150144-150141-151034,161034-160016-160013-160010-160001-160004-160007,2.7-0.46-5,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,,379-56
35001,T_CHARACTER_Title_2001,T_CHARACTER_NAME_35001,T_CHARACTER_Description_35001,3,Icon/Item/ability/Icon_Support,T_CHARACTER_Range_1,4,5,7,6,Player/R18_P35_01,Player/R18_P35_01_Lobby,Player/R18_P35_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P35,Icon/Icon01_Head/Icon01_Head_M_P35,Icon/Icon01_Head/Icon01_Head_B_P35,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P35,3.5,35001,35001-35002-35003,35004-35005,100000-100001-100002-100003-100004-100005-100006-100007-150146-150147-100013-100014-100015-100016-100017-100018-100019-150148-150145-151035,161035-160018-160015-160012-160003-160006-160009,2.5-0.45-4.8,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,,380-56
36001,T_CHARACTER_Title_1001,T_CHARACTER_NAME_36001,T_CHARACTER_Description_36001,1,Icon/Item/ability/Icon_Damage,T_CHARACTER_Range_1,4,6,5,6,Player/R18_P36_01,Player/R18_P36_01_Lobby,Player/R18_P36_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P36,Icon/Icon01_Head/Icon01_Head_M_P36,Icon/Icon01_Head/Icon01_Head_B_P36,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P36,3.5,36001,36001-36002-36003,36004-36005,100000-100001-100002-100003-100004-100005-100006-100007-150150-150151-100013-100014-100015-100016-100017-100018-100019-150152-150149-151036,161036-160016-160013-160010-160001-160004-160007,2.7-0.46-5,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,,381-56
37001,T_CHARACTER_Title_1001,T_CHARACTER_NAME_37001,T_CHARACTER_Description_37001,1,Icon/Item/ability/Icon_Damage,T_CHARACTER_Range_1,4,7,4,6,Player/R18_P37_01,Player/R18_P37_01_Lobby,Player/R18_P37_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P37,Icon/Icon01_Head/Icon01_Head_M_P37,Icon/Icon01_Head/Icon01_Head_B_P37,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P37,3.5,37001,37001-37002-37003,37004-37005,100000-100001-100002-100003-100004-100005-100006-100007-150154-150155-100013-100014-100015-100016-100017-100018-100019-150156-150153-151037,161037-160016-160013-160010-160001-160004-160007,2.7-0.46-5,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,,382-56
38001,T_CHARACTER_Title_2001,T_CHARACTER_NAME_38001,T_CHARACTER_Description_38001,3,Icon/Item/ability/Icon_Support,T_CHARACTER_Range_1,4,6,7,5,Player/R18_P38_01,Player/R18_P38_01_Lobby,Player/R18_P38_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P38,Icon/Icon01_Head/Icon01_Head_M_P38,Icon/Icon01_Head/Icon01_Head_B_P38,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P38,3.5,38001,38001-38002-38003,38004-38005,100000-100001-100002-100003-100004-100005-100006-100007-150158-150159-100013-100014-100015-100016-100017-100018-100019-150160-150157-151038,161038-160018-160015-160012-160003-160006-160009,2.5-0.45-4.8,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,,383-56
39001,T_CHARACTER_Title_1001,T_CHARACTER_NAME_39001,T_CHARACTER_Description_39001,1,Icon/Item/ability/Icon_Damage,T_CHARACTER_Range_1,4,7,6,5,Player/R18_P39_01,Player/R18_P39_01_Lobby,Player/R18_P39_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P39,Icon/Icon01_Head/Icon01_Head_M_P39,Icon/Icon01_Head/Icon01_Head_B_P39,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P39,3.5,39001,39001-39002-39003,39004-39005,100000-100001-100002-100003-100004-100005-100006-100007-150162-150163-100013-100014-100015-100016-100017-100018-100019-150164-150161-151039,161039-160016-160013-160010-160001-160004-160007,2.7-0.46-5,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,,384-56
10040001,T_CHARACTER_Title_1,T_CHARACTER_NAME_10040001,T_CHARACTER_Description_10040001,2,Icon/Item/ability/Icon_Tank,T_CHARACTER_Range_1,4,6,6,5,Player/R18_P40_01,Player/R18_P40_01_Lobby,Player/R18_P40_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P40,Icon/Icon01_Head/Icon01_Head_M_P40,Icon/Icon01_Head/Icon01_Head_B_P40,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P40,3.5,40001,40001-40002-40003,40004-40005,100000-100001-100002-100003-100004-100005-100006-100007-150166-150167-100013-100014-100015-100016-100017-100018-100019-150168-150165-151040,161040-160017-160014-160011-160002-160005-160008,2.5-0.45-4.55,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,,385-56
10041001,T_CHARACTER_Title_1001,T_CHARACTER_NAME_10041001,T_CHARACTER_Description_10041001,1,Icon/Item/ability/Icon_Damage,T_CHARACTER_Range_1,4,7,6,5,Player/R18_P41_01,Player/R18_P41_01_Lobby,Player/R18_P41_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P41,Icon/Icon01_Head/Icon01_Head_M_P41,Icon/Icon01_Head/Icon01_Head_B_P41,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P41,3.5,41001,41001-41002-41003,41004-41005,100000-100001-100002-100003-100004-100005-100006-100007-150170-150171-100013-100014-100015-100016-100017-100018-100019-150172-150169-151041,161041-160016-160013-160010-160001-160004-160007,2.7-0.46-5,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,,386-56
10042001,T_CHARACTER_Title_2001,T_CHARACTER_NAME_10042001,T_CHARACTER_Description_10042001,3,Icon/Item/ability/Icon_Support,T_CHARACTER_Range_1,4,5,8,5,Player/R18_P42_01,Player/R18_P42_01_Lobby,Player/R18_P42_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P42,Icon/Icon01_Head/Icon01_Head_M_P42,Icon/Icon01_Head/Icon01_Head_B_P42,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P42,3.5,42001,42001-42002-42003,42004-42005,100000-100001-100002-100003-100004-100005-100006-100007-150174-150175-100013-100014-100015-100016-100017-100018-100019-150176-150173-151042,161042-160018-160015-160012-160003-160006-160009,2.5-0.45-4.8,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,,387-56
4101,T_CHARACTER_Title_1,T_CHARACTER_NAME_4101,,2,Icon/Item/ability/Icon_Tank,T_CHARACTER_Range_1,,,,,Monster/R18_P04_pet_01,Monster/R18_P04_pet_01,,,2,Icon/Icon01_Head/Icon01_Head_S_P04,Icon/Icon01_Head/Icon01_Head_M_P04,Icon/Icon01_Head/Icon01_Head_B_P04,,4.5,411,4101-4102-4103,4104-4105,,,,,,,,,,,,,
4102,T_CHARACTER_Title_1,T_CHARACTER_NAME_4101,,2,Icon/Item/ability/Icon_Tank,T_CHARACTER_Range_1,,,,,Monster/R18_P04_pet_01,Monster/R18_P04_pet_01,,,2,Icon/Icon01_Head/Icon01_Head_S_P04,Icon/Icon01_Head/Icon01_Head_M_P04,Icon/Icon01_Head/Icon01_Head_B_P04,,4.5,411,4106-4107-4108,4109-4110,,,,,,,,,,,,,
7101,T_CHARACTER_Title_1,T_CHARACTER_NAME_7101,,2,Icon/Item/ability/Icon_Tank,,,,,,Monster/R18_P07_pet_01,Monster/R18_P07_pet_01,,,2,Icon/Icon01_Head/Icon01_Head_S_P07,Icon/Icon01_Head/Icon01_Head_M_P07,Icon/Icon01_Head/Icon01_Head_B_P07,,3.5,711,7101-7102-7103,7104-7105,,,,,,,,,,,,,
7102,T_CHARACTER_Title_1,T_CHARACTER_NAME_7101,,2,Icon/Item/ability/Icon_Tank,,,,,,Monster/R18_P07_pet_01,Monster/R18_P07_pet_01,,,2,Icon/Icon01_Head/Icon01_Head_S_P07,Icon/Icon01_Head/Icon01_Head_M_P07,Icon/Icon01_Head/Icon01_Head_B_P07,,3.5,712,7106-7107-7108,7104-7105,,,,,,,,,,,,,
18101,T_CHARACTER_Title_1,T_CHARACTER_NAME_18101,,2,Icon/Item/ability/Icon_Tank,,,,,,Monster/R18_P18_pet_01,Monster/R18_P18_pet_01,,,2,Icon/Icon01_Head/Icon01_Head_S_P18,Icon/Icon01_Head/Icon01_Head_M_P18,Icon/Icon01_Head/Icon01_Head_B_P18,,4.5,1801,18101-18102-18103,18104-18105,,,,,,,,,,,,,
18102,T_CHARACTER_Title_1,T_CHARACTER_NAME_18101,,2,Icon/Item/ability/Icon_Tank,,,,,,Monster/R18_P18_pet_01,Monster/R18_P18_pet_01,,,2,Icon/Icon01_Head/Icon01_Head_S_P18,Icon/Icon01_Head/Icon01_Head_M_P18,Icon/Icon01_Head/Icon01_Head_B_P18,,4.5,1801,18106-18107-18108,18104-18105,,,,,,,,,,,,,
32101,T_CHARACTER_Title_1,T_CHARACTER_NAME_32101,,2,Icon/Item/ability/Icon_Tank,,,,,,Monster/R18_P32_pet_01,Monster/R18_P32_pet_01,,,2,Icon/Icon01_Head/Icon01_Head_S_P32,Icon/Icon01_Head/Icon01_Head_M_P32,Icon/Icon01_Head/Icon01_Head_B_P32,,4.5,3201,32101-32102-32103,32104-32105,,,,,,,,,,,,,
32102,T_CHARACTER_Title_1,T_CHARACTER_NAME_32101,,2,Icon/Item/ability/Icon_Tank,,,,,,Monster/R18_P32_pet_01,Monster/R18_P32_pet_01,,,2,Icon/Icon01_Head/Icon01_Head_S_P32,Icon/Icon01_Head/Icon01_Head_M_P32,Icon/Icon01_Head/Icon01_Head_B_P32,,4.5,3201,32106-32107,32108-32104-32105,,,,,,,,,,,,,
36101,T_CHARACTER_Title_1,T_CHARACTER_NAME_36101,,2,Icon/Item/ability/Icon_Tank,,,,,,Monster/R18_P36_pet_01,Monster/R18_P36_pet_01,,,2,Icon/Icon01_Head/Icon01_Head_S_P36,Icon/Icon01_Head/Icon01_Head_M_P36,Icon/Icon01_Head/Icon01_Head_B_P36,,2,3601,36101-36102,36103-36104-36105,,,,,,,,,,,,,
36102,T_CHARACTER_Title_1,T_CHARACTER_NAME_36101,,2,Icon/Item/ability/Icon_Tank,,,,,,Monster/R18_P36_pet_01,Monster/R18_P36_pet_01,,,2,Icon/Icon01_Head/Icon01_Head_S_P36,Icon/Icon01_Head/Icon01_Head_M_P36,Icon/Icon01_Head/Icon01_Head_B_P36,,2,3601,36106-36107,36108-36104-36105,,,,,,,,,,,,,
36103,T_CHARACTER_Title_1,T_CHARACTER_NAME_1,,2,Icon/Item/ability/Icon_Tank,,,,,,Monster/R18_P36_pet_01,Monster/R18_P36_pet_01,,,2,Icon/Icon01_Head/Icon01_Head_S_P36,Icon/Icon01_Head/Icon01_Head_M_P36,Icon/Icon01_Head/Icon01_Head_B_P36,,2,3601,36106-36107,36108-36104-36105,,,,,,,,,,,,,
999001,,T_CHARACTER_NAME_999001,,,,,,,,,Monster/M000_000,,,,2,,,,,3.5,999001,,999003-999004,,,,,,,,,,,2,,
999002,,T_CHARACTER_NAME_999001,,,,,,,,,Monster/M000_000,,,,2,,,,,3.5,999002,,999003-999004,,,,,,,,,,,2,,
999003,,T_CHARACTER_NAME_999001,,,,,,,,,Monster/M000_000,,,,2,,,,,3.5,999003,,999003-999004,,,,,,,,,,,2,,
999004,,T_CHARACTER_NAME_999001,,,,,,,,,Monster/M000_000,,,,2,,,,,3.5,999004,,999003-999004,,,,,,,,,,,2,,
999005,,T_CHARACTER_NAME_999001,,,,,,,,,Monster/M000_000,,,,2,,,,,3.5,999005,,999003-999004,,,,,,,,,,,2,,
999006,,T_CHARACTER_NAME_999001,,,,,,,,,Monster/M000_000,,,,2,,,,,3.5,999006,,999003-999004,,,,,,,,,,,2,,
999007,,T_CHARACTER_NAME_999001,,,,,,,,,Monster/M000_000,,,,2,,,,,3.5,999007,,999003-999004,,,,,,,,,,,2,,
999008,,T_CHARACTER_NAME_999001,,,,,,,,,Monster/M000_000,,,,2,,,,,3.5,999008,,999003-999004,,,,,,,,,,,2,,
999009,,T_CHARACTER_NAME_999001,,,,,,,,,Monster/M000_000,,,,2,,,,,3.5,999009,,999003-999004,,,,,,,,,,,2,,
999010,,T_CHARACTER_NAME_999001,,,,,,,,,Monster/M000_000,,,,2,,,,,3.5,999010,,999003-999004,,,,,,,,,,,2,,
999011,,T_CHARACTER_NAME_999001,,,,,,,,,Monster/M000_000,,,,2,,,,,3.5,999011,,999003-999004,,,,,,,,,,,2,,
999012,,T_CHARACTER_NAME_999001,,,,,,,,,Monster/M000_000,,,,2,,,,,3.5,999012,,999003-999004,,,,,,,,,,,2,,
999013,,T_CHARACTER_NAME_999001,,,,,,,,,Monster/M000_000,,,,2,,,,,3.5,999013,,999003-999004,,,,,,,,,,,2,,
999014,,T_CHARACTER_NAME_999001,,,,,,,,,Monster/M000_000,,,,2,,,,,3.5,999014,,999003-999004,,,,,,,,,,,2,,
999015,,T_CHARACTER_NAME_999001,,,,,,,,,Monster/M000_000,,,,2,,,,,3.5,999015,,999003-999004,,,,,,,,,,,2,,
999016,,T_CHARACTER_NAME_999001,,,,,,,,,Monster/M000_000,,,,2,,,,,3.5,999016,,999003-999004,,,,,,,,,,,2,,
999017,,T_CHARACTER_NAME_999001,,,,,,,,,Monster/M000_000,,,,2,,,,,3.5,999017,,999003-999004,,,,,,,,,,,2,,
999018,,T_CHARACTER_NAME_999001,,,,,,,,,Monster/M000_000,,,,2,,,,,3.5,999018,,999003-999004,,,,,,,,,,,2,,
999019,,T_CHARACTER_NAME_999001,,,,,,,,,Monster/M000_000,,,,2,,,,,3.5,999019,,999003-999004,,,,,,,,,,,2,,
999020,,T_CHARACTER_NAME_999001,,,,,,,,,Monster/M000_000,,,,2,,,,,3.5,999020,,999003-999004,,,,,,,,,,,2,,
999021,,T_CHARACTER_NAME_999021,,,,,,,,,Monster/M047_000,,,,2,,,,,5.5,999021,,999013-999014,,,,,,,,,,,2,,
999022,,T_CHARACTER_NAME_999021,,,,,,,,,Monster/M047_000,,,,2,,,,,5.5,999022,,999013-999014,,,,,,,,,,,2,,
999023,,T_CHARACTER_NAME_999021,,,,,,,,,Monster/M047_000,,,,2,,,,,5.5,999023,,999013-999014,,,,,,,,,,,2,,
999024,,T_CHARACTER_NAME_999021,,,,,,,,,Monster/M047_000,,,,2,,,,,5.5,999024,,999013-999014,,,,,,,,,,,2,,
999025,,T_CHARACTER_NAME_999021,,,,,,,,,Monster/M047_000,,,,2,,,,,5.5,999025,,999013-999014,,,,,,,,,,,2,,
999026,,T_CHARACTER_NAME_999021,,,,,,,,,Monster/M047_000,,,,2,,,,,5.5,999026,,999013-999014,,,,,,,,,,,2,,
999027,,T_CHARACTER_NAME_999021,,,,,,,,,Monster/M047_000,,,,2,,,,,5.5,999027,,999013-999014,,,,,,,,,,,2,,
999028,,T_CHARACTER_NAME_999021,,,,,,,,,Monster/M047_000,,,,2,,,,,5.5,999028,,999013-999014,,,,,,,,,,,2,,
999029,,T_CHARACTER_NAME_999021,,,,,,,,,Monster/M047_000,,,,2,,,,,5.5,999029,,999013-999014,,,,,,,,,,,2,,
999030,,T_CHARACTER_NAME_999021,,,,,,,,,Monster/M047_000,,,,2,,,,,5.5,999030,,999013-999014,,,,,,,,,,,2,,
999031,,T_CHARACTER_NAME_999021,,,,,,,,,Monster/M047_000,,,,2,,,,,5.5,999031,,999013-999014,,,,,,,,,,,2,,
999032,,T_CHARACTER_NAME_999021,,,,,,,,,Monster/M047_000,,,,2,,,,,5.5,999032,,999013-999014,,,,,,,,,,,2,,
999033,,T_CHARACTER_NAME_999021,,,,,,,,,Monster/M047_000,,,,2,,,,,5.5,999033,,999013-999014,,,,,,,,,,,2,,
999034,,T_CHARACTER_NAME_999021,,,,,,,,,Monster/M047_000,,,,2,,,,,5.5,999034,,999013-999014,,,,,,,,,,,2,,
999035,,T_CHARACTER_NAME_999021,,,,,,,,,Monster/M047_000,,,,2,,,,,5.5,999035,,999013-999014,,,,,,,,,,,2,,
999036,,T_CHARACTER_NAME_999021,,,,,,,,,Monster/M047_000,,,,2,,,,,5.5,999036,,999013-999014,,,,,,,,,,,2,,
999041,,T_CHARACTER_NAME_999041,,,,,,,,,Monster/M001_000,,,,2,,,,,3.5,999041,,999023-999024,,,,,,,,,,,2,,
999042,,T_CHARACTER_NAME_999041,,,,,,,,,Monster/M001_000,,,,2,,,,,3.5,999042,,999023-999024,,,,,,,,,,,2,,
999043,,T_CHARACTER_NAME_999041,,,,,,,,,Monster/M001_000,,,,2,,,,,3.5,999043,,999023-999024,,,,,,,,,,,2,,
999044,,T_CHARACTER_NAME_999041,,,,,,,,,Monster/M001_000,,,,2,,,,,3.5,999044,,999023-999024,,,,,,,,,,,2,,
999045,,T_CHARACTER_NAME_999041,,,,,,,,,Monster/M001_000,,,,2,,,,,3.5,999045,,999023-999024,,,,,,,,,,,2,,
999046,,T_CHARACTER_NAME_999041,,,,,,,,,Monster/M001_000,,,,2,,,,,3.5,999046,,999023-999024,,,,,,,,,,,2,,
999047,,T_CHARACTER_NAME_999041,,,,,,,,,Monster/M001_000,,,,2,,,,,3.5,999047,,999023-999024,,,,,,,,,,,2,,
999048,,T_CHARACTER_NAME_999041,,,,,,,,,Monster/M001_000,,,,2,,,,,3.5,999048,,999023-999024,,,,,,,,,,,2,,
999049,,T_CHARACTER_NAME_999041,,,,,,,,,Monster/M001_000,,,,2,,,,,3.5,999049,,999023-999024,,,,,,,,,,,2,,
999050,,T_CHARACTER_NAME_999041,,,,,,,,,Monster/M001_000,,,,2,,,,,3.5,999050,,999023-999024,,,,,,,,,,,2,,
999051,,T_CHARACTER_NAME_999041,,,,,,,,,Monster/M001_000,,,,2,,,,,3.5,999051,,999023-999024,,,,,,,,,,,2,,
999052,,T_CHARACTER_NAME_999041,,,,,,,,,Monster/M001_000,,,,2,,,,,3.5,999052,,999023-999024,,,,,,,,,,,2,,
999053,,T_CHARACTER_NAME_999041,,,,,,,,,Monster/M001_000,,,,2,,,,,3.5,999053,,999023-999024,,,,,,,,,,,2,,
999054,,T_CHARACTER_NAME_999041,,,,,,,,,Monster/M001_000,,,,2,,,,,3.5,999054,,999023-999024,,,,,,,,,,,2,,
999055,,T_CHARACTER_NAME_999041,,,,,,,,,Monster/M001_000,,,,2,,,,,3.5,999055,,999023-999024,,,,,,,,,,,2,,
999056,,T_CHARACTER_NAME_999041,,,,,,,,,Monster/M001_000,,,,2,,,,,3.5,999056,,999023-999024,,,,,,,,,,,2,,
999057,,T_CHARACTER_NAME_999041,,,,,,,,,Monster/M001_000,,,,2,,,,,3.5,999057,,999023-999024,,,,,,,,,,,2,,
999058,,T_CHARACTER_NAME_999041,,,,,,,,,Monster/M001_000,,,,2,,,,,3.5,999058,,999023-999024,,,,,,,,,,,2,,
999059,,T_CHARACTER_NAME_999041,,,,,,,,,Monster/M001_000,,,,2,,,,,3.5,999059,,999023-999024,,,,,,,,,,,2,,
999060,,T_CHARACTER_NAME_999041,,,,,,,,,Monster/M001_000,,,,2,,,,,3.5,999060,,999023-999024,,,,,,,,,,,2,,
999061,,T_CHARACTER_NAME_999061,,,,,,,,,Monster/M050_000,,,,2,,,,,3.5,999061,,999034-999035,,,,,,,,,,,2,,
999062,,T_CHARACTER_NAME_999061,,,,,,,,,Monster/M050_000,,,,2,,,,,3.5,999062,,999034-999035,,,,,,,,,,,2,,
999063,,T_CHARACTER_NAME_999061,,,,,,,,,Monster/M050_000,,,,2,,,,,3.5,999063,,999034-999035,,,,,,,,,,,2,,
999064,,T_CHARACTER_NAME_999061,,,,,,,,,Monster/M050_000,,,,2,,,,,3.5,999064,,999034-999035,,,,,,,,,,,2,,
999065,,T_CHARACTER_NAME_999061,,,,,,,,,Monster/M050_000,,,,2,,,,,3.5,999065,,999034-999035,,,,,,,,,,,2,,
999066,,T_CHARACTER_NAME_999061,,,,,,,,,Monster/M050_000,,,,2,,,,,3.5,999066,,999034-999035,,,,,,,,,,,2,,
999067,,T_CHARACTER_NAME_999061,,,,,,,,,Monster/M050_000,,,,2,,,,,3.5,999067,,999034-999035,,,,,,,,,,,2,,
999068,,T_CHARACTER_NAME_999061,,,,,,,,,Monster/M050_000,,,,2,,,,,3.5,999068,,999034-999035,,,,,,,,,,,2,,
999069,,T_CHARACTER_NAME_999061,,,,,,,,,Monster/M050_000,,,,2,,,,,3.5,999069,,999034-999035,,,,,,,,,,,2,,
999070,,T_CHARACTER_NAME_999061,,,,,,,,,Monster/M050_000,,,,2,,,,,3.5,999070,,999034-999035,,,,,,,,,,,2,,
999071,,T_CHARACTER_NAME_999061,,,,,,,,,Monster/M050_000,,,,2,,,,,3.5,999071,,999034-999035,,,,,,,,,,,2,,
999072,,T_CHARACTER_NAME_999061,,,,,,,,,Monster/M050_000,,,,2,,,,,3.5,999072,,999034-999035,,,,,,,,,,,2,,
999081,,T_CHARACTER_NAME_999081,,,,,,,,,Monster/M048_000,,,,1,,,,,4.5,999081,,999044-999045-999046,,,,,,,,,,,8,,
999082,,T_CHARACTER_NAME_999081,,,,,,,,,Monster/M048_000,,,,1,,,,,4.5,999082,,999044-999045-999046,,,,,,,,,,,8,,
999083,,T_CHARACTER_NAME_999081,,,,,,,,,Monster/M048_000,,,,1,,,,,4.5,999083,,999044-999045-999046,,,,,,,,,,,8,,
999084,,T_CHARACTER_NAME_999081,,,,,,,,,Monster/M048_000,,,,1,,,,,4.5,999084,,999044-999045-999046,,,,,,,,,,,8,,
999085,,T_CHARACTER_NAME_999081,,,,,,,,,Monster/M048_000,,,,1,,,,,4.5,999085,,999044-999045-999046,,,,,,,,,,,8,,
999086,,T_CHARACTER_NAME_999081,,,,,,,,,Monster/M048_000,,,,1,,,,,4.5,999086,,999044-999045-999046,,,,,,,,,,,8,,
999087,,T_CHARACTER_NAME_999081,,,,,,,,,Monster/M048_000,,,,1,,,,,4.5,999087,,999044-999045-999046,,,,,,,,,,,8,,
999088,,T_CHARACTER_NAME_999081,,,,,,,,,Monster/M048_000,,,,1,,,,,4.5,999088,,999044-999045-999046,,,,,,,,,,,8,,
999089,,T_CHARACTER_NAME_999081,,,,,,,,,Monster/M048_000,,,,1,,,,,4.5,999089,,999044-999045-999046,,,,,,,,,,,8,,
999090,,T_CHARACTER_NAME_999081,,,,,,,,,Monster/M048_000,,,,1,,,,,4.5,999090,,999044-999045-999046,,,,,,,,,,,8,,
999091,,T_CHARACTER_NAME_999081,,,,,,,,,Monster/M048_000,,,,1,,,,,4.5,999091,,999044-999045-999046,,,,,,,,,,,8,,
999092,,T_CHARACTER_NAME_999081,,,,,,,,,Monster/M048_000,,,,1,,,,,4.5,999092,,999044-999045-999046,,,,,,,,,,,8,,
999101,,T_CHARACTER_NAME_999101,,,,,,,,,Monster/B011_000,,,,1,,,,,10,999101,999051-999052-999053,999054,,,,,,,,,,,20,,
999102,,T_CHARACTER_NAME_999101,,,,,,,,,Monster/B011_000,,,,1,,,,,10,999102,999051-999052-999053,999054,,,,,,,,,,,20,,
